Date,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.6M,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.1Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.2Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.3Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.4Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.5Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.7Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.10Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.15Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.20Y,CR_CDS_SPREAD.2H66B7.EUR.SNRFOR.30Y
2024-09-25,0.0033534500,0.0037533100,0.0046612300,0.0078019100,0.0104394000,0.0130459100,0.0172823500,0.0192566900,0.0202273900,0.0205701900,0.0209447100
2024-09-24,0.0033642100,0.0037668400,0.0046755600,0.0078190000,0.0104622200,0.0130568600,0.0172634300,0.0192195700,0.0202337000,0.0205953900,0.0209884400
2024-09-23,0.0033904300,0.0038023300,0.0047366800,0.0078470100,0.0105120000,0.0131142400,0.0172848000,0.0192732600,0.0203183700,0.0206872000,0.0210839300
2024-09-20,0.0034454800,0.0038284100,0.0050469800,0.0079012400,0.0105159700,0.0130345100,0.0171032900,0.0190644800,0.0201283400,0.0204947800,0.0208872700
2024-09-19,0.0032696100,0.0034941100,0.0043797000,0.0070497900,0.0095092300,0.0118763600,0.0161838900,0.0182083300,0.0192113400,0.0195690500,0.0199567300
2024-09-18,0.0034347500,0.0036703500,0.0045767700,0.0073919400,0.0099512400,0.0124068100,0.0166953000,0.0187279300,0.0198045100,0.0201687600,0.0205564900
2024-09-17,0.0034285600,0.0036638300,0.0046019000,0.0074095800,0.0100034100,0.0124844600,0.0167831500,0.0188337700,0.0198789800,0.0202441900,0.0206385500
2024-09-16,0.0034720400,0.0037123800,0.0046919300,0.0075785200,0.0102304600,0.0127705000,0.0170854700,0.0191793100,0.0201851600,0.0205520100,0.0209505900
2024-09-13,0.0035467700,0.0037913500,0.0047603800,0.0076721800,0.0103114500,0.0128530000,0.0171417500,0.0191638800,0.0201900300,0.0205568100,0.0209546600
2024-09-12,0.0036736000,0.0039267900,0.0049490400,0.0079460300,0.0106717100,0.0133054200,0.0175762100,0.0195766400,0.0205781100,0.0209454300,0.0213460900
2024-09-11,0.0037382900,0.0039964100,0.0050495100,0.0081084500,0.0108954000,0.0135485800,0.0177949000,0.0198236100,0.0208278400,0.0212042800,0.0216155600
2024-09-10,0.0037451200,0.0040042800,0.0050500900,0.0080498800,0.0108303000,0.0134949500,0.0177180000,0.0196809600,0.0206410400,0.0210152400,0.0214267000
2024-09-09,0.0036899000,0.0039434100,0.0049892900,0.0080154800,0.0108023600,0.0134533700,0.0176607100,0.0197354600,0.0207291800,0.0211088900,0.0215228900
2024-09-06,0.0036512000,0.0039018600,0.0049456900,0.0080214700,0.0107824800,0.0134290300,0.0176624200,0.0198366100,0.0208261600,0.0212139800,0.0216378700
2024-09-05,0.0036889000,0.0039379000,0.0050004300,0.0080550700,0.0108216000,0.0134553900,0.0176904400,0.0197742200,0.0207568900,0.0211435000,0.0215659800
2024-09-04,0.0036914700,0.0039330200,0.0049698900,0.0080056000,0.0107733300,0.0133786300,0.0176241200,0.0197132200,0.0207233900,0.0211108700,0.0215286600
2024-09-03,0.0036504600,0.0038487800,0.0048450900,0.0078059300,0.0105347700,0.0130750800,0.0173270900,0.0194237200,0.0204743700,0.0208551700,0.0212543500
2024-09-02,0.0036619200,0.0038042000,0.0047412100,0.0076315900,0.0103271000,0.0128096200,0.0170336700,0.0193432100,0.0206812000,0.0210697500,0.0214397600
2024-08-30,0.0037064700,0.0038381500,0.0047501900,0.0076372800,0.0103346900,0.0127973600,0.0169953100,0.0191385100,0.0205058300,0.0208891300,0.0212518600
2024-08-29,0.0037479500,0.0038526200,0.0047761700,0.0076698600,0.0103829300,0.0128527000,0.0170522600,0.0191947700,0.0205984500,0.0209764600,0.0213360700
2024-08-28,0.0037717900,0.0038929300,0.0048371000,0.0077565200,0.0104887600,0.0129943000,0.0171977500,0.0193289600,0.0207508700,0.0211303800,0.0214914400
2024-08-27,0.0037734400,0.0039089200,0.0048951100,0.0078686100,0.0106694600,0.0132112700,0.0174431900,0.0196826900,0.0211157700,0.0215019000,0.0218711000
