Date,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.6M,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.1Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.2Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.3Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.4Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.5Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.7Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.10Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.15Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.20Y,CR_CDS_SPREAD.48DGFE.EUR.SNRFOR.30Y
2024-09-25,0.0009746900,0.0011748200,0.0016176400,0.0020497400,0.0025011500,0.0030428400,0.0038124900,0.0045210000,0.0048288200,0.0050379600,0.0053276400
2024-09-24,0.0009763800,0.0011791900,0.0016238800,0.0020580600,0.0025114700,0.0030554100,0.0038253000,0.0045274900,0.0048370600,0.0050466100,0.0053344600
2024-09-23,0.0009243200,0.0011168000,0.0015784200,0.0020126700,0.0024858000,0.0030492700,0.0038336100,0.0045289800,0.0048534400,0.0050615500,0.0053474600
2024-09-20,0.0008965800,0.0010923000,0.0015710600,0.0020136400,0.0024944200,0.0030480300,0.0038946200,0.0045944200,0.0049462700,0.0051613700,0.0054421400
2024-09-19,0.0007799100,0.0009658100,0.0013904300,0.0017891500,0.0022229100,0.0027507000,0.0035584400,0.0042475000,0.0045691500,0.0047746600,0.0050617700
2024-09-18,0.0007971300,0.0009830200,0.0014033400,0.0018190300,0.0022497500,0.0027586200,0.0035658700,0.0042771300,0.0045936400,0.0047990600,0.0050738900
2024-09-17,0.0008083700,0.0010041100,0.0014336200,0.0018396000,0.0022819600,0.0028058300,0.0035933800,0.0042598100,0.0045723100,0.0047770400,0.0050656600
2024-09-16,0.0008132100,0.0010569200,0.0015009700,0.0019110300,0.0023422100,0.0028394800,0.0035980900,0.0042629100,0.0045701200,0.0047737200,0.0050605400
2024-09-13,0.0007935700,0.0010423400,0.0014630900,0.0018774100,0.0023271200,0.0028367600,0.0036271800,0.0043045100,0.0046195400,0.0048245800,0.0051121300
2024-09-12,0.0008406100,0.0010777200,0.0015049600,0.0019377700,0.0023814200,0.0029107400,0.0036984200,0.0043811000,0.0047046500,0.0049104200,0.0051930000
2024-09-11,0.0008996300,0.0011394800,0.0015872000,0.0020200000,0.0024802600,0.0030206000,0.0038068500,0.0045147600,0.0048563000,0.0050680000,0.0053452300
2024-09-10,0.0008576200,0.0010903000,0.0015234500,0.0019620000,0.0024183500,0.0029424100,0.0037271300,0.0044104800,0.0047430200,0.0049626300,0.0052256200
2024-09-09,0.0008521900,0.0011034800,0.0015412800,0.0019693900,0.0024234100,0.0029558300,0.0037445000,0.0044521000,0.0048096600,0.0050178000,0.0053002500
2024-09-06,0.0008836600,0.0011203900,0.0015724200,0.0019918300,0.0024525700,0.0029803000,0.0037406700,0.0044624200,0.0048275300,0.0050359900,0.0053166500
2024-09-05,0.0008698800,0.0010985900,0.0015274700,0.0019466000,0.0024047700,0.0029211300,0.0036817500,0.0043726900,0.0047150100,0.0049222800,0.0051970200
2024-09-04,0.0009258100,0.0011214200,0.0015525000,0.0019725200,0.0024306600,0.0029479800,0.0037056900,0.0044003600,0.0047381000,0.0049509400,0.0052143900
2024-09-03,0.0009088900,0.0011030200,0.0015282000,0.0019425100,0.0023848300,0.0029018400,0.0036600000,0.0043548900,0.0046657900,0.0048921300,0.0051546400
2024-09-02,0.0008654700,0.0010543000,0.0014721900,0.0018784700,0.0023331400,0.0028392000,0.0036054900,0.0042907500,0.0046036300,0.0048262200,0.0050909700
2024-08-30,0.0008480200,0.0010346400,0.0014573900,0.0018797200,0.0023214400,0.0028252200,0.0035978300,0.0042870000,0.0046028100,0.0048155800,0.0050922000
2024-08-29,0.0008402000,0.0010284300,0.0014496000,0.0018540000,0.0022994500,0.0027833000,0.0035435400,0.0042130500,0.0045179600,0.0047450700,0.0050033300
2024-08-28,0.0008420800,0.0010351700,0.0014433300,0.0018535300,0.0023170600,0.0027970500,0.0035416600,0.0041914900,0.0045138600,0.0047421100,0.0049979700
2024-08-27,0.0008526800,0.0010582600,0.0014757000,0.0018835200,0.0023187500,0.0028089600,0.0035741500,0.0042410400,0.0045909800,0.0048236100,0.0050776300
2024-08-26,0.0008683900,0.0010822800,0.0015029900,0.0019012200,0.0023630700,0.0028602300,0.0036080300,0.0043004700,0.0047204900,0.0049744200,0.0052334600
2024-08-23,0.0008513700,0.0010609800,0.0014800300,0.0018890400,0.0023419400,0.0028339400,0.0035822000,0.0042500200,0.0046726300,0.0049223300,0.0051901800
