Date,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.6M,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.1Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.2Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.3Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.4Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.5Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.7Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.10Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.15Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.20Y,CR_CDS_SPREAD.8A87AG.EUR.SNRFOR.30Y
2024-09-25,0.0007650700,0.0009483700,0.0016353800,0.0022208600,0.0026657500,0.0031892900,0.0042852600,0.0056834700,0.0066799300,0.0067792200,0.0067898700
2024-09-24,0.0007538700,0.0009402800,0.0016361000,0.0022043500,0.0026532500,0.0031730100,0.0042774300,0.0056563300,0.0066488800,0.0067450500,0.0067600100
2024-09-23,0.0008027900,0.0010010100,0.0016473200,0.0022276500,0.0027091200,0.0032303100,0.0043514700,0.0057236300,0.0067113900,0.0067935300,0.0068203000
2024-09-20,0.0008201100,0.0010463900,0.0016771000,0.0022376700,0.0027171300,0.0032534300,0.0043474600,0.0057005000,0.0066590000,0.0067374500,0.0067494700
2024-09-19,0.0007664200,0.0009135600,0.0015235100,0.0020966800,0.0025179200,0.0030525700,0.0041387000,0.0055499600,0.0065117000,0.0065065100,0.0064363900
2024-09-18,0.0008114700,0.0009629300,0.0016000400,0.0021773100,0.0026435200,0.0031523900,0.0042846900,0.0056666600,0.0066410000,0.0066397900,0.0065960600
2024-09-17,0.0007895400,0.0009423400,0.0015656800,0.0021508000,0.0026148900,0.0031251200,0.0042190300,0.0056090200,0.0065985200,0.0066915700,0.0066992500
2024-09-16,0.0008241500,0.0009812300,0.0016376000,0.0022433300,0.0026922400,0.0032477500,0.0043356900,0.0057377200,0.0067362700,0.0068185000,0.0068385000
2024-09-13,0.0008317100,0.0009898400,0.0016645700,0.0022622600,0.0027368500,0.0032625900,0.0043912800,0.0057514800,0.0067461100,0.0068408000,0.0068469800
2024-09-12,0.0008525500,0.0010081000,0.0016898700,0.0023044400,0.0027697300,0.0033194300,0.0044341000,0.0057803400,0.0067458600,0.0068322200,0.0068375600
2024-09-11,0.0008763900,0.0010356500,0.0017205800,0.0023662200,0.0028086500,0.0034083300,0.0044877500,0.0058575900,0.0068332600,0.0069188900,0.0069270300
2024-09-10,0.0008288800,0.0009819800,0.0016859600,0.0023579700,0.0027215200,0.0033698700,0.0044251500,0.0058190000,0.0068009900,0.0068747700,0.0068970900
2024-09-09,0.0008458500,0.0010031500,0.0016448300,0.0022579800,0.0026908500,0.0032778300,0.0043988400,0.0057404100,0.0067052700,0.0067777200,0.0067946500
2024-09-06,0.0008616700,0.0010191200,0.0016720900,0.0022970400,0.0027332500,0.0032926400,0.0044309800,0.0057069600,0.0066703500,0.0067536700,0.0067621500
2024-09-05,0.0008441500,0.0009995500,0.0016583900,0.0022866400,0.0027320900,0.0032455100,0.0044269300,0.0057403700,0.0067132900,0.0067816400,0.0068053400
2024-09-04,0.0008630300,0.0010110800,0.0016679400,0.0022801000,0.0027120400,0.0032544000,0.0043983400,0.0056668700,0.0066193600,0.0066835900,0.0067053500
2024-09-03,0.0008203500,0.0009638000,0.0016091800,0.0022034600,0.0026341700,0.0031420000,0.0043309700,0.0056561600,0.0066084100,0.0066606200,0.0066829700
2024-09-02,0.0008046800,0.0009410500,0.0015305700,0.0021183200,0.0025069200,0.0030886800,0.0041840900,0.0054321500,0.0063669300,0.0064127900,0.0064188000
2024-08-30,0.0007735800,0.0009039700,0.0015450900,0.0021345200,0.0025599300,0.0030618700,0.0042560000,0.0056074600,0.0065794700,0.0066274800,0.0066346300
2024-08-29,0.0008079500,0.0009430600,0.0014937800,0.0021412000,0.0024726800,0.0030760000,0.0041615100,0.0054116100,0.0063505200,0.0063974400,0.0064050200
