Date,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.6M,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.1Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.2Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.3Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.4Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.5Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.7Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.10Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.15Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.20Y,CR_CDS_SPREAD.8B69AP.EUR.SNRFOR.30Y
2024-09-25,0.0024008700,0.0029317400,0.0035696000,0.0041852000,0.0050049100,0.0058483200,0.0076169200,0.0093210500,0.0105955800,0.0109615800,0.0109871200
2024-09-24,0.0023947300,0.0029294500,0.0035681500,0.0041774700,0.0049990000,0.0058417900,0.0076034400,0.0093039300,0.0105589300,0.0109210300,0.0109508600
2024-09-23,0.0023968000,0.0029205300,0.0035597500,0.0041632900,0.0049847300,0.0058298600,0.0075727500,0.0092643600,0.0105106100,0.0108593700,0.0109041600
2024-09-20,0.0023194200,0.0028154300,0.0034232100,0.0040170600,0.0047936200,0.0056179300,0.0073275400,0.0089640700,0.0101741300,0.0105162000,0.0105483700
2024-09-19,0.0019934800,0.0024776800,0.0030434700,0.0035453200,0.0042848400,0.0050167300,0.0067701100,0.0084243800,0.0096797000,0.0100153800,0.0100302400
2024-09-18,0.0020308500,0.0025202100,0.0030826800,0.0035893300,0.0043354000,0.0050700700,0.0068079800,0.0084757100,0.0097166300,0.0100661800,0.0100825800
2024-09-17,0.0020294200,0.0025196700,0.0030859900,0.0035949100,0.0043378500,0.0050700400,0.0068056200,0.0084635800,0.0097255900,0.0100626600,0.0100890500
2024-09-16,0.0020459800,0.0025422200,0.0031153100,0.0036290500,0.0043744600,0.0051138200,0.0068531000,0.0085503000,0.0098384500,0.0101939900,0.0102064000
2024-09-13,0.0020319000,0.0025231300,0.0031037400,0.0036330600,0.0043684000,0.0051078900,0.0068677300,0.0085403800,0.0097993000,0.0101527200,0.0101680400
2024-09-12,0.0020553000,0.0025489000,0.0031387300,0.0036819400,0.0044190800,0.0051767700,0.0069260200,0.0086085200,0.0098704200,0.0102202200,0.0102353200
2024-09-11,0.0021260600,0.0026253100,0.0032128200,0.0037904500,0.0045334400,0.0052921700,0.0070032800,0.0086697400,0.0099037100,0.0102377500,0.0102583800
2024-09-10,0.0021017100,0.0025969200,0.0031763500,0.0037286800,0.0044835500,0.0052237600,0.0069721200,0.0086465300,0.0098803900,0.0102151000,0.0102353500
2024-09-09,0.0021000800,0.0025838800,0.0031637300,0.0037021600,0.0044482900,0.0051842000,0.0069304400,0.0086127600,0.0098223400,0.0101606100,0.0101815000
2024-09-06,0.0020851000,0.0025772300,0.0031558200,0.0037099100,0.0044552900,0.0051890000,0.0069287500,0.0085970900,0.0098509600,0.0102033300,0.0102148200
2024-09-05,0.0020885600,0.0025931000,0.0031786000,0.0037175400,0.0044695700,0.0052028000,0.0069554400,0.0086229100,0.0098927500,0.0102480200,0.0102620100
2024-09-04,0.0021270100,0.0026294400,0.0032217000,0.0037912300,0.0045365000,0.0052783000,0.0070206900,0.0087027300,0.0099742500,0.0103314600,0.0103488600
2024-09-03,0.0020942100,0.0025884400,0.0031728300,0.0037391200,0.0044742700,0.0052022600,0.0069505700,0.0086167100,0.0098775300,0.0102196800,0.0102496100
2024-09-02,0.0020512700,0.0025375300,0.0031094800,0.0036606800,0.0043792400,0.0051006800,0.0068408100,0.0085245800,0.0097722200,0.0101272700,0.0101412400
2024-08-30,0.0020444200,0.0025299900,0.0030827500,0.0036324900,0.0043521000,0.0050600200,0.0067680700,0.0084298300,0.0096600900,0.0100104400,0.0100242900
2024-08-29,0.0020397600,0.0025284100,0.0030861400,0.0036171500,0.0043221500,0.0050386600,0.0067346900,0.0084132900,0.0096739000,0.0100251100,0.0100381400
2024-08-28,0.0020309500,0.0025220700,0.0030612700,0.0036057400,0.0043082600,0.0050302100,0.0067134900,0.0083898100,0.0096534100,0.0099918400,0.0100129000
2024-08-27,0.0020141600,0.0025019900,0.0030507300,0.0036156700,0.0043236400,0.0050115700,0.0067386800,0.0083918700,0.0096522000,0.0099908100,0.0100129500
2024-08-26,0.0020026000,0.0024876600,0.0030515700,0.0035758700,0.0042933000,0.0049915400,0.0066928400,0.0083528000,0.0095567800,0.0098949200,0.0099370600
