Date,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.6M,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.1Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.2Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.3Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.4Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.5Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.7Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.10Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.15Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.20Y,CR_CDS_SPREAD.EFAGG9.EUR.SNRFOR.30Y
2024-09-25,0.0017790900,0.0022296200,0.0029437300,0.0035765100,0.0042644400,0.0049926100,0.0066315000,0.0079911800,0.0090894100,0.0094006600,0.0095874000
2024-09-24,0.0017924400,0.0022200200,0.0029347700,0.0035821300,0.0042743800,0.0049949000,0.0066325400,0.0079853800,0.0090845900,0.0094560300,0.0098284900
2024-09-23,0.0018026300,0.0022405200,0.0029448400,0.0035882200,0.0042782600,0.0050022100,0.0066283800,0.0079636600,0.0090642700,0.0094193700,0.0097544900
2024-09-20,0.0017555900,0.0021963300,0.0028647400,0.0035196800,0.0041805500,0.0049150900,0.0065091500,0.0078166900,0.0089042100,0.0091625700,0.0092747000
2024-09-19,0.0015151200,0.0018985500,0.0025319200,0.0031279200,0.0037610200,0.0044325800,0.0060559000,0.0073946100,0.0084721800,0.0087389600,0.0088550500
2024-09-18,0.0015486100,0.0019380900,0.0025777500,0.0031789300,0.0038181000,0.0045024800,0.0061274700,0.0074665700,0.0085492600,0.0088404100,0.0089950400
2024-09-17,0.0015279800,0.0019140500,0.0025557400,0.0031531800,0.0037940300,0.0044774300,0.0061020200,0.0074356900,0.0085004900,0.0088071900,0.0089475800
2024-09-16,0.0015602200,0.0019555600,0.0026285200,0.0032227300,0.0038672900,0.0045387900,0.0061625800,0.0075065100,0.0085964500,0.0089066600,0.0090900700
2024-09-13,0.0015785800,0.0019506400,0.0026261600,0.0032212600,0.0038694500,0.0045322400,0.0061645300,0.0074978400,0.0085900200,0.0089857000,0.0093793600
2024-09-12,0.0016249900,0.0020019500,0.0026761100,0.0032860200,0.0039490000,0.0046304200,0.0062577600,0.0075932000,0.0086767800,0.0090725200,0.0094528900
2024-09-11,0.0016748900,0.0020595800,0.0027316900,0.0033303000,0.0040072600,0.0047088100,0.0063374900,0.0076824000,0.0087895800,0.0091548800,0.0094876100
2024-09-10,0.0015962000,0.0019947800,0.0026583600,0.0032750600,0.0039250500,0.0046131200,0.0062390200,0.0075719100,0.0086501400,0.0089191200,0.0090729900
2024-09-09,0.0016277600,0.0020083700,0.0026778800,0.0032760600,0.0039278500,0.0046021400,0.0062241000,0.0075618600,0.0086488900,0.0090014900,0.0093509200
2024-09-06,0.0016079600,0.0019981100,0.0026815200,0.0032836300,0.0039545900,0.0046138800,0.0062598500,0.0075805500,0.0086639200,0.0089340600,0.0090445800
2024-09-05,0.0015746900,0.0019591600,0.0026350000,0.0032455500,0.0038926800,0.0045596900,0.0061627000,0.0075132100,0.0085974400,0.0088662000,0.0090192300
2024-09-04,0.0016651300,0.0020467900,0.0027163500,0.0033328100,0.0039712700,0.0046397500,0.0062372600,0.0075777600,0.0086753800,0.0090286000,0.0093597400
2024-09-03,0.0015718300,0.0019682000,0.0026465700,0.0032522400,0.0038889100,0.0045356900,0.0061470300,0.0074797000,0.0085616100,0.0088177900,0.0089277100
2024-09-02,0.0015355900,0.0019325900,0.0026180800,0.0031896300,0.0038144700,0.0044386600,0.0060657300,0.0074054900,0.0084849900,0.0087526100,0.0088539900
2024-08-30,0.0015208800,0.0019131200,0.0026004900,0.0031733000,0.0038059200,0.0044167700,0.0060374200,0.0073351100,0.0084165400,0.0086675600,0.0087717400
2024-08-29,0.0014573200,0.0018401600,0.0025371300,0.0030908200,0.0037439700,0.0043629900,0.0060148000,0.0073352300,0.0084133000,0.0086807300,0.0087817100
2024-08-28,0.0014372900,0.0018135000,0.0024832400,0.0030693000,0.0036964500,0.0043267700,0.0059972300,0.0073053000,0.0083910500,0.0086618600,0.0087682100
2024-08-27,0.0014683100,0.0018529200,0.0025479400,0.0031293800,0.0037265300,0.0043313400,0.0059840100,0.0072522600,0.0083208000,0.0086028600,0.0087315200
2024-08-26,0.0014993100,0.0018606200,0.0025083700,0.0031209300,0.0037345100,0.0043823000,0.0060154700,0.0073508400,0.0084219000,0.0087917200,0.0091240900
2024-08-23,0.0014844100,0.0018702500,0.0025222800,0.0031254400,0.0037324900,0.0043654200,0.0059957100,0.0073194800,0.0083941100,0.0086636600,0.0087707800
2024-08-22,0.0014887885,0.0018764896,0.0025462808,0.0031431200,0.0037516409,0.0043910846,0.0060293655,0.0073488710,0.0084139964,0.0086833526,0.0088020044
2024-08-21,0.0014931800,0.0018827500,0.0025705100,0.0031609000,0.0037708900,0.0044169000,0.0060632100,0.0073783800,0.0084339300,0.0087030900,0.0088333400
2024-08-20,0.0014969100,0.0018879100,0.0025938500,0.0031967000,0.0038214000,0.0044639200,0.0061009100,0.0073661900,0.0084318000,0.0086999000,0.0088565900
2024-08-19,0.0014884900,0.0018601500,0.0025641700,0.0031927200,0.0038191800,0.0044647100,0.0061195600,0.0074106700,0.0084611900,0.0088325300,0.0091718300
2024-08-16,0.0014846600,0.0018787400,0.0025779800,0.0032031300,0.0038431300,0.0044950300,0.0061441900,0.0074414400,0.0084870200,0.0087397500,0.0088783100
2024-08-15,0.0015083100,0.0019110000,0.0026047100,0.0032355800,0.0038910400,0.0045531300,0.0062102000,0.0074601400,0.0084497500,0.0087018400,0.0088435300
2024-08-14,0.0015150900,0.0019105000,0.0026762300,0.0033544900,0.0040268400,0.0047073200,0.0063733700,0.0076186200,0.0086122900,0.0088892700,0.0090372800
2024-08-13,0.0015589100,0.0019549700,0.0027417600,0.0034137300,0.0041073500,0.0048171500,0.0064783600,0.0077266400,0.0086915300,0.0090022100,0.0092050000
2024-08-12,0.0015756000,0.0019515500,0.0027313000,0.0034064400,0.0040733800,0.0047616300,0.0064430700,0.0076908800,0.0086927700,0.0090996600,0.0094872500
2024-08-09,0.0015756800,0.0019519600,0.0027309100,0.0034070200,0.0040913000,0.0047688400,0.0064349400,0.0076849500,0.0087065200,0.0090812900,0.0094192100
2024-08-08,0.0015701600,0.0019740800,0.0027398900,0.0034212500,0.0041092500,0.0047989800,0.0064679200,0.0077167800,0.0087489300,0.0090185900,0.0091339900
2024-08-07,0.0015310200,0.0019456900,0.0027139400,0.0033974300,0.0040843500,0.0047757100,0.0064479200,0.0077140500,0.0087520400,0.0090184900,0.0091274400
2024-08-06,0.0016861400,0.0021056200,0.0028856500,0.0036010700,0.0043279800,0.0050701500,0.0067509400,0.0080387100,0.0091343800,0.0094100000,0.0095251300
2024-08-05,0.0017893800,0.0022155000,0.0030067700,0.0037262800,0.0044370800,0.0051500900,0.0068352700,0.0081089500,0.0091919400,0.0094876300,0.0096534300
