Date,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.6M,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.1Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.2Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.3Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.4Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.5Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.7Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.10Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.15Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.20Y,CR_CDS_SPREAD.FH49GG.EUR.SNRFOR.30Y
2024-09-25,0.0016357400,0.0019093200,0.0023748200,0.0029378700,0.0037136600,0.0045311600,0.0057507300,0.0068742200,0.0076521500,0.0078368700,0.0076794800
2024-09-24,0.0016312300,0.0019068800,0.0023659300,0.0029482800,0.0037200100,0.0045200700,0.0057506300,0.0068719300,0.0076427100,0.0078259500,0.0076684300
2024-09-23,0.0016420200,0.0019185300,0.0023778300,0.0029450200,0.0036812400,0.0044865300,0.0056898800,0.0068054200,0.0075634000,0.0077295800,0.0075735600
2024-09-20,0.0016125100,0.0018798300,0.0023317900,0.0028991900,0.0035957000,0.0043638700,0.0055374500,0.0066208900,0.0073448900,0.0075086800,0.0073424600
2024-09-19,0.0013672500,0.0016326900,0.0020542100,0.0025515200,0.0032077800,0.0039297700,0.0051337900,0.0062463300,0.0070066300,0.0071858400,0.0070077300
2024-09-18,0.0013864700,0.0016531900,0.0020721500,0.0025529100,0.0032511000,0.0039787700,0.0051705200,0.0062600400,0.0070225800,0.0072009000,0.0070249800
2024-09-17,0.0013853600,0.0016536900,0.0020849800,0.0025690200,0.0032424500,0.0039709700,0.0051707000,0.0062951600,0.0070395400,0.0072178000,0.0070457300
2024-09-16,0.0014011100,0.0016759000,0.0020879600,0.0026078100,0.0032781600,0.0040183700,0.0052275800,0.0063556200,0.0071229200,0.0073031800,0.0071270100
2024-09-13,0.0014095800,0.0016748500,0.0021005700,0.0026194500,0.0032959700,0.0040088200,0.0052043500,0.0063686300,0.0071204200,0.0073001200,0.0071255800
2024-09-12,0.0014360300,0.0017132800,0.0021397100,0.0026568300,0.0033362200,0.0040855700,0.0052930500,0.0064148300,0.0071735900,0.0073500300,0.0071788900
2024-09-11,0.0014565900,0.0017358200,0.0021599400,0.0026898100,0.0033989500,0.0041543000,0.0053520600,0.0064483300,0.0071786200,0.0073536300,0.0071994400
2024-09-10,0.0014536000,0.0017287400,0.0021931700,0.0026999700,0.0033856500,0.0041281800,0.0053288900,0.0064578900,0.0072450800,0.0074193400,0.0072439300
2024-09-09,0.0014532000,0.0017302200,0.0021629600,0.0026948600,0.0033588000,0.0040766900,0.0052982700,0.0064438800,0.0072371200,0.0073988200,0.0072373200
2024-09-06,0.0014581000,0.0017348800,0.0021631100,0.0026954100,0.0033651200,0.0040893600,0.0053096800,0.0064364200,0.0072324800,0.0074077800,0.0072310600
2024-09-05,0.0014363000,0.0017009900,0.0021383100,0.0026582200,0.0033359000,0.0040825100,0.0052906500,0.0064043300,0.0071882800,0.0073490800,0.0071882700
2024-09-04,0.0014703500,0.0017413300,0.0021986400,0.0027072100,0.0033999300,0.0041597700,0.0053537500,0.0064707000,0.0072522300,0.0074334900,0.0072558700
2024-09-03,0.0014310500,0.0017067400,0.0021442400,0.0026479100,0.0033197900,0.0040725700,0.0052796400,0.0063888800,0.0071543100,0.0073194900,0.0071593800
2024-09-02,0.0013867100,0.0016558000,0.0020950100,0.0025676800,0.0032587100,0.0039879800,0.0052018400,0.0063107900,0.0070883800,0.0072664000,0.0070875100
2024-08-30,0.0013848000,0.0016532300,0.0020905800,0.0025772800,0.0032446900,0.0039613700,0.0051762000,0.0062662400,0.0070369000,0.0072002500,0.0070370000
2024-08-29,0.0014111300,0.0016860900,0.0020911600,0.0025900000,0.0032693500,0.0039570000,0.0051689700,0.0062113900,0.0069754800,0.0071535600,0.0069745100
2024-08-28,0.0013803300,0.0016399300,0.0020603900,0.0025720700,0.0032297900,0.0039315700,0.0051451600,0.0062816000,0.0070717400,0.0072541200,0.0070748700
2024-08-27,0.0014022600,0.0016625400,0.0020698800,0.0025774800,0.0032479100,0.0039411800,0.0051511900,0.0062692800,0.0070459300,0.0072247900,0.0070490400
2024-08-26,0.0013723900,0.0016246300,0.0020503700,0.0025161400,0.0032052700,0.0039602100,0.0051445700,0.0062429700,0.0070197900,0.0071859100,0.0070259400
2024-08-23,0.0013799400,0.0016346600,0.0020568700,0.0025554600,0.0032159900,0.0039442600,0.0051329800,0.0062471900,0.0070131300,0.0071955800,0.0070210100
2024-08-22,0.0013985600,0.0016574600,0.0020837100,0.0026113600,0.0032616600,0.0039685000,0.0051693900,0.0063056400,0.0070660700,0.0072521100,0.0070882600
2024-08-21,0.0014035200,0.0016721500,0.0021058300,0.0026420300,0.0032936700,0.0040051200,0.0052270600,0.0063601900,0.0071013700,0.0072891100,0.0071441000
2024-08-20,0.0014096000,0.0016776200,0.0020963500,0.0025941100,0.0032958800,0.0040252500,0.0052279100,0.0063363500,0.0070352300,0.0072227300,0.0070877400
2024-08-19,0.0014093500,0.0016686600,0.0020896700,0.0026045900,0.0032906000,0.0040169800,0.0052301500,0.0063480000,0.0069687100,0.0071663300,0.0070562800
2024-08-16,0.0014513000,0.0017263200,0.0021572300,0.0026704600,0.0033779600,0.0041126400,0.0053360200,0.0064593500,0.0070987800,0.0072988100,0.0071867300
2024-08-15,0.0014940400,0.0017795600,0.0022106500,0.0027641100,0.0034853700,0.0042155700,0.0054325400,0.0065722300,0.0072257200,0.0074269500,0.0073136300
2024-08-14,0.0016005600,0.0018973600,0.0023282900,0.0029109700,0.0036862600,0.0044499600,0.0056966400,0.0068174000,0.0074536600,0.0076531300,0.0075437500
2024-08-13,0.0016204400,0.0019223600,0.0023493500,0.0029678500,0.0037862500,0.0045686000,0.0058166900,0.0069027400,0.0075075300,0.0077072400,0.0076017100
2024-08-12,0.0016034300,0.0019009300,0.0023551300,0.0029642300,0.0037702400,0.0045377700,0.0058268200,0.0069550400,0.0076264700,0.0078279500,0.0077133700
2024-08-09,0.0016320900,0.0019351600,0.0023738800,0.0029639300,0.0037751000,0.0045685700,0.0058361400,0.0069566600,0.0075953500,0.0077965500,0.0076866200
2024-08-08,0.0016639900,0.0019721400,0.0024377600,0.0030194200,0.0037966700,0.0045951800,0.0058590600,0.0069825300,0.0076450200,0.0078467500,0.0077334500
2024-08-07,0.0016381400,0.0019325700,0.0023738200,0.0029546300,0.0037359900,0.0045773200,0.0058196300,0.0069341900,0.0075605900,0.0077602300,0.0076513300
2024-08-06,0.0017229600,0.0020270900,0.0024684000,0.0030891800,0.0039248200,0.0048056800,0.0060607700,0.0071656700,0.0077945800,0.0079953400,0.0078869000
2024-08-05,0.0018132800,0.0021276700,0.0025985600,0.0032146600,0.0040407800,0.0049254100,0.0061675800,0.0072807400,0.0079295000,0.0081321000,0.0080210900
2024-08-02,0.0016747600,0.0019649600,0.0024250300,0.0030012300,0.0037739700,0.0046172000,0.0058556500,0.0069628200,0.0075979900,0.0077979400,0.0076879800
