Date,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.6M,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.1Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.2Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.3Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.4Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.5Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.7Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.10Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.15Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.20Y,CR_CDS_SPREAD.GG6EBT.EUR.SNRFOR.30Y
2024-09-25,0.0014674200,0.0017777800,0.0028520100,0.0038116300,0.0049252100,0.0060435300,0.0078300400,0.0094264200,0.0105894500,0.0109095500,0.0111072900
2024-09-24,0.0014078900,0.0017074200,0.0028316400,0.0037888800,0.0049185000,0.0060472400,0.0078686500,0.0094632200,0.0106346500,0.0109556000,0.0111547900
2024-09-23,0.0014339000,0.0017473000,0.0028307300,0.0037837200,0.0049046200,0.0060295600,0.0078636400,0.0094513400,0.0106022600,0.0109228200,0.0111249800
2024-09-20,0.0015004200,0.0018629900,0.0028289600,0.0037944100,0.0048951800,0.0059870800,0.0077796200,0.0093322400,0.0104558900,0.0107683300,0.0109684800
2024-09-19,0.0013124500,0.0015866900,0.0024491800,0.0033389000,0.0043728600,0.0054215200,0.0072633500,0.0088785000,0.0100564200,0.0103693900,0.0105599700
2024-09-18,0.0013362600,0.0016159400,0.0024941900,0.0033993000,0.0044476900,0.0055079000,0.0073675300,0.0090257700,0.0102118000,0.0105287100,0.0107305800
2024-09-17,0.0013565000,0.0016440000,0.0025263800,0.0034236300,0.0044586400,0.0055111200,0.0073400900,0.0089781400,0.0101589200,0.0104724300,0.0106648300
2024-09-16,0.0013615600,0.0016514200,0.0025515300,0.0034707400,0.0045219800,0.0055842500,0.0073778100,0.0090217100,0.0101808900,0.0104901200,0.0106892700
2024-09-13,0.0013731600,0.0016664300,0.0025635600,0.0034907200,0.0045363500,0.0056057700,0.0074247300,0.0090190900,0.0101791000,0.0104761500,0.0106851800
2024-09-12,0.0014098600,0.0017175700,0.0026357000,0.0035777200,0.0046331600,0.0057118800,0.0075332000,0.0091273900,0.0102891200,0.0105894200,0.0107937200
2024-09-11,0.0014824900,0.0017916000,0.0027300800,0.0036852600,0.0047462700,0.0058305900,0.0076507600,0.0092411200,0.0103991600,0.0107094100,0.0109062800
2024-09-10,0.0014011800,0.0016970700,0.0026357300,0.0035825900,0.0046502900,0.0057329700,0.0075495900,0.0091132900,0.0102684400,0.0105663200,0.0107736800
2024-09-09,0.0014011500,0.0016964700,0.0026280800,0.0035613300,0.0046127800,0.0056906100,0.0074994500,0.0090833700,0.0102360700,0.0105390900,0.0107453600
2024-09-06,0.0013925300,0.0016861100,0.0026140700,0.0035372300,0.0045953000,0.0056609300,0.0074902100,0.0090847900,0.0102241200,0.0105380700,0.0107330200
2024-09-05,0.0013864900,0.0016773700,0.0025916500,0.0035199000,0.0045835300,0.0056668700,0.0074848400,0.0090877900,0.0102386400,0.0105543600,0.0107585000
2024-09-04,0.0014079700,0.0017026000,0.0026205300,0.0035513300,0.0046052800,0.0056849200,0.0074940500,0.0090903400,0.0102640200,0.0105799500,0.0107734800
2024-09-03,0.0014072600,0.0017000900,0.0025972600,0.0035177500,0.0045701700,0.0056399000,0.0074428200,0.0090495600,0.0102089400,0.0105200200,0.0107167600
2024-09-02,0.0013762000,0.0016642700,0.0025480000,0.0034493700,0.0044799400,0.0055503300,0.0073432500,0.0089655900,0.0101400000,0.0104419100,0.0106454000
2024-08-30,0.0013425100,0.0016238400,0.0025080200,0.0034161000,0.0044534600,0.0055360800,0.0073291800,0.0089719500,0.0101496000,0.0104606500,0.0106567800
2024-08-29,0.0014021900,0.0017081200,0.0025599000,0.0034513400,0.0044772100,0.0055123200,0.0073194300,0.0089334500,0.0100996200,0.0103985000,0.0106066700
2024-08-28,0.0013884000,0.0016947700,0.0025466600,0.0034331100,0.0044644100,0.0054953300,0.0073367700,0.0089895500,0.0101633100,0.0104694800,0.0106774800
2024-08-27,0.0012427000,0.0015145000,0.0024593200,0.0033394300,0.0043573100,0.0054718400,0.0072198100,0.0088436800,0.0099713900,0.0102845400,0.0104796400
2024-08-26,0.0013323900,0.0016240300,0.0024919000,0.0034103800,0.0044381800,0.0054852900,0.0072759300,0.0089017400,0.0100333700,0.0103486300,0.0105473700
2024-08-23,0.0013262800,0.0016163400,0.0024967500,0.0034184000,0.0044573400,0.0055276200,0.0072879500,0.0088800800,0.0100038900,0.0103183900,0.0105206600
2024-08-22,0.0013248800,0.0016143100,0.0024971100,0.0034030200,0.0044564100,0.0055322700,0.0073504300,0.0089839200,0.0101257300,0.0104438400,0.0106571500
2024-08-21,0.0013511000,0.0016391200,0.0025136300,0.0034436400,0.0044790900,0.0055496400,0.0073640900,0.0090087600,0.0101196100,0.0104395000,0.0106543800
2024-08-20,0.0013895400,0.0016849900,0.0025692800,0.0034763000,0.0045062400,0.0055616300,0.0073783400,0.0090159000,0.0100888800,0.0104129800,0.0106510400
2024-08-19,0.0013823200,0.0016773100,0.0025812500,0.0034674200,0.0045122300,0.0055551600,0.0073731700,0.0089640300,0.0099623300,0.0102954700,0.0105573900
2024-08-16,0.0013977000,0.0016965000,0.0026152300,0.0035042200,0.0045574400,0.0056120700,0.0074299000,0.0090157400,0.0100181300,0.0103529700,0.0106197100
2024-08-15,0.0014280800,0.0017397700,0.0026820600,0.0035803200,0.0046414700,0.0056918000,0.0075043600,0.0090907900,0.0100749700,0.0104084000,0.0106762500
2024-08-14,0.0014852400,0.0018152700,0.0028194400,0.0037617000,0.0048616800,0.0059497100,0.0077623900,0.0093550400,0.0103353400,0.0106697000,0.0109378800
2024-08-13,0.0015361600,0.0018711500,0.0029028100,0.0038612500,0.0049744600,0.0060778300,0.0078508400,0.0094410900,0.0104194000,0.0107518300,0.0110165100
2024-08-12,0.0015471700,0.0018853600,0.0029050300,0.0038632500,0.0049453700,0.0060230100,0.0078341300,0.0094191300,0.0104121400,0.0107450100,0.0110072800
2024-08-09,0.0015795500,0.0019202400,0.0029453500,0.0038960600,0.0049884600,0.0060812200,0.0079044500,0.0094986000,0.0104906200,0.0108287300,0.0110934600
2024-08-08,0.0015939300,0.0019290800,0.0029636700,0.0039243800,0.0050294200,0.0061217000,0.0079454700,0.0095406000,0.0105238800,0.0108765600,0.0111441000
2024-08-07,0.0015738400,0.0019201500,0.0029586900,0.0039166600,0.0050314300,0.0061340700,0.0079533800,0.0095544600,0.0105482100,0.0109071800,0.0111900200
2024-08-06,0.0016587800,0.0020128100,0.0030854900,0.0040820900,0.0052137100,0.0063634400,0.0081721300,0.0097862600,0.0107827700,0.0111173500,0.0113790900
