date,DEU,BEL,ITA,LUX,PRT,AUT,FRA,NLD,FIN,GRC,ESP,IRL,SVK,SVN,EST,LTU
1998-01-01,75.56107,69.47375,124.0141,81.79785,123.4435,59.52972,101.3265,87.77608,86.56017,134.114,112.9375,30.92231,34.29425,74.07407,44.50206,56.73352
1998-02-01,75.3593,70.26974,123.9138,85.23752,129.255,59.64877,102.0207,86.53711,88.05948,136.0509,116.129,32.30004,34.05664,75.11371,43.81662,57.87966
1998-03-01,76.36813,69.73533,123.3118,82.50305,128.4467,60.48219,100.8474,86.91833,89.25893,145.7889,114.2759,32.6062,35.31728,74.46394,43.63433,59.88539
1998-04-01,75.66195,69.91164,124.3151,80.91626,129.7054,60.48219,102.1576,87.87138,90.05856,140.5502,115.5113,31.68772,35.16553,74.8538,42.94889,59.88539
1998-05-01,76.06548,69.88438,124.1144,81.88103,130.4385,60.60125,103.4385,88.72913,89.55879,136.3091,116.3349,31.99388,33.7341,74.59389,41.99366,59.02579
1998-06-01,75.46018,71.14275,123.9138,84.77654,127.0356,61.07749,102.7834,87.29955,88.35934,137.9405,116.0261,32.14696,33.20496,72.77453,41.49053,58.73925
1998-07-01,77.0743,70.73177,123.7131,70.4333,129.0732,61.55373,103.3798,88.63383,89.25893,138.9331,116.3349,33.21852,33.76218,73.4243,40.30196,61.03152
1998-08-01,75.3593,69.60051,122.0074,77.01687,126.7993,60.48219,100.7398,87.58547,88.75916,141.9837,117.4674,34.90241,33.57546,74.59389,40.8051,60.60172
1998-09-01,74.85489,69.56048,123.8134,76.10901,129.5051,62.98244,102.6269,88.062,88.25938,137.3848,115.7172,34.44317,33.10181,73.55425,38.52275,53.4384
1998-10-01,75.3593,69.77992,123.0107,76.34104,129.5408,62.38714,102.6172,89.20566,88.95907,141.5361,116.7467,34.90241,32.69616,73.16439,37.97586,61.60458
1998-11-01,74.35047,69.48264,122.6094,74.73002,127.6775,61.9109,103.2527,89.8728,88.4593,142.121,117.7763,34.13701,32.52606,74.59389,40.34571,62.03439
1998-12-01,74.65312,69.01611,119.6997,73.47821,129.0859,60.48219,102.5194,85.20284,88.15943,141.8083,117.4674,34.44317,32.23018,72.12476,39.89362,54.01146
1999-01-01,75.86372,69.09045,122.0074,80.14246,130.1394,61.43467,102.8029,88.72913,89.55879,141.2318,118.5999,38.42327,32.52071,73.81416,38.38421,49.71347
1999-02-01,74.45135,68.38754,121.4054,82.63452,133.2092,61.55373,102.4705,89.30096,90.05856,139.6185,115.8202,36.12706,32.28094,71.86485,38.15816,47.70774
1999-03-01,74.95577,69.51966,121.8067,83.99524,130.103,62.38714,102.3629,90.25401,90.85819,137.656,116.4379,34.59625,32.57028,72.51462,38.11441,56.30373
1999-04-01,75.46018,69.63605,120.9037,85.72495,132.9795,62.98244,103.2234,88.63383,91.65782,137.5116,115.7172,35.51473,32.80682,70.43535,38.7488,62.03439
1999-05-01,75.9646,69.64363,120.0007,87.37923,130.3984,63.81585,103.6047,88.53852,91.55787,141.171,119.6294,35.97398,33.68834,72.51462,38.20191,52.00573
1999-06-01,75.9646,69.73017,121.9071,86.51067,134.5307,64.64927,105.0127,91.39767,92.05764,141.2216,117.8792,36.73938,32.50409,74.07407,40.16341,53.00859
1999-07-01,76.56989,70.68636,122.8101,86.96422,131.4111,63.57774,105.2669,91.20707,91.55787,144.6339,121.0707,39.03559,32.59105,72.64458,40.16341,54.87106
1999-08-01,77.27607,71.12596,123.6128,92.85383,133.2679,64.64927,103.2723,90.82584,90.45837,143.0307,120.453,37.65786,33.33481,73.68421,40.16341,47.851
1999-09-01,76.97342,71.14799,124.1144,93.70937,130.5922,65.7208,106.1176,90.34932,92.75732,143.1599,120.5559,40.26024,32.81797,74.46394,39.98112,51.86246
1999-10-01,77.78049,71.60926,125.3185,92.80593,132.4865,66.79234,107.4669,90.92115,91.75777,145.5697,120.6589,41.48488,33.06915,75.89344,41.85512,49.5702
1999-11-01,77.6796,73.59615,126.1211,91.1425,134.3972,70.95942,107.5256,92.63664,91.65782,144.7172,120.9677,40.26024,33.53986,74.98376,41.26448,45.84527
1999-12-01,77.78049,72.2039,124.7164,93.0991,134.312,67.03046,106.5869,92.35073,98.85452,147.3532,123.9533,40.41332,33.12246,76.2833,41.39573,44.69914
2000-01-01,79.15593,64.7785,124.9474,86.49512,117.7425,66.19704,107.3985,93.13986,96.0913,150.8611,124.3651,37.96403,33.69796,73.16439,44.22865,51.57593
2000-02-01,80.89562,67.82861,125.6842,87.07048,117.2559,67.5067,107.682,94.5823,95.86305,151.3282,126.2183,37.96403,34.38367,75.37362,45.8177,48.99714
2000-03-01,80.79897,68.70007,126.7368,87.83762,112.0986,68.45918,108.3958,94.78836,95.52068,154.2473,124.4681,39.03559,34.48163,77.58285,44.36107,53.15186
2000-04-01,81.95876,71.60493,127.6842,91.86511,113.0717,68.93541,109.0314,95.6126,97.00428,154.1306,125.0858,42.25029,34.97143,76.2833,44.22865,49.28367
2000-05-01,83.89175,72.18591,128.4211,93.39939,118.7155,71.07848,110.3611,95.9217,101.3409,150.3941,124.3651,42.55645,33.30612,80.31189,44.89075,46.70487
2000-06-01,81.47552,71.31445,128.2105,91.76922,115.699,70.36412,108.9238,95.71564,96.89016,152.4959,124.674,42.86261,32.22857,80.31189,46.74465,49.71347
2000-07-01,83.50516,70.1525,127.3684,93.49529,114.8232,70.84036,110.2145,98.70353,100.3138,150.1606,124.571,45.00574,33.89388,78.62248,43.3017,51.14613
