date,DEU,BEL,ITA,LUX,PRT,AUT,FRA,NLD,FIN,GRC,ESP,IRL,SVK,SVN,EST,LTU
1958-01-01,23.9983,24.18781,26.6715,35.89453,19.61175,12.78249,33.32245,20.09282,12.80294,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1958-04-01,23.81584,23.00371,26.62062,34.91151,19.78418,12.68106,32.92484,20.18805,12.71297,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1958-07-01,24.06386,23.02781,27.43463,34.3298,20.63147,12.70294,32.6708,20.56896,12.76834,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1958-10-01,24.2955,23.022,27.9879,34.66949,21.36637,12.81299,32.22901,21.04509,13.14204,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1959-01-01,24.46114,23.38939,28.82099,34.9743,21.72287,12.85119,31.94184,21.52122,13.30121,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1959-04-01,25.23181,24.22062,29.21527,36.21463,21.60992,13.51502,32.92484,21.99736,13.86178,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1959-07-01,25.98306,24.34101,30.25822,36.66146,23.07791,13.5712,33.24514,22.94962,14.22856,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1959-10-01,27.07869,25.3611,32.25509,38.66525,23.69543,13.9438,34.43799,23.42576,14.7476,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1960-01-01,27.53185,25.6712,33.43158,39.93465,22.91537,14.34783,35.06755,23.80666,15.15591,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1960-04-01,28.17455,25.81672,34.69711,39.50703,23.52965,14.75788,35.66397,24.6637,15.75799,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1960-07-01,28.98077,26.52349,35.5302,40.1276,24.54873,15.02702,36.5807,24.85416,15.84796,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1960-10-01,29.72801,26.02445,35.54928,39.93527,24.37782,15.43604,37.16608,25.61597,16.39468,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1961-01-01,30.54558,25.73699,36.74485,41.05388,25.78891,15.35585,37.75146,25.42552,17.06597,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1961-04-01,30.35617,28.03665,37.82596,41.46561,26.22383,15.39489,37.95026,25.52074,17.34279,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1961-07-01,30.63138,28.37391,39.15508,41.51997,25.48509,15.55233,38.61296,25.90165,17.79954,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1961-10-01,30.77186,28.3656,40.61775,40.1073,25.58679,15.69086,39.07684,26.37778,17.99332,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1962-01-01,32.57858,28.66015,41.60983,39.23067,26.22723,15.83121,39.88312,26.66346,18.36703,26.99916,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1962-04-01,32.72383,29.03351,41.69886,38.52505,25.82206,15.81679,40.13715,26.85392,18.76842,27.44174,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1962-07-01,33.80287,29.621,42.41748,39.11053,26.25452,16.05615,40.7888,27.42528,18.67845,27.30036,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1962-10-01,33.34636,29.58607,43.46679,39.88616,25.77838,15.9853,41.1312,27.33005,19.01063,27.86869,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1963-01-01,33.13885,29.85142,44.08365,38.395,26.1384,16.08215,39.28616,27.1396,18.73381,28.82409,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1963-04-01,33.92737,31.55724,45.90245,39.39609,26.5528,16.61104,42.56001,28.47277,19.66808,29.05115,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1963-07-01,34.86116,31.99708,46.78005,40.42551,27.03056,16.78707,44.12576,29.13936,19.7096,31.01876,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1963-10-01,34.98566,32.66566,47.37148,40.31059,28.19077,17.1087,44.24777,29.42504,20.29093,31.78599,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1964-01-01,36.35521,33.37897,47.61314,42.09157,27.99667,17.68857,45.42717,30.94866,20.15441,31.74193,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1964-04-01,36.45896,33.10067,46.53204,43.52731,29.056,17.89257,45.58984,31.13912,20.49546,32.33318,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1964-07-01,37.41349,33.52596,45.58448,43.90252,29.64666,18.01637,44.77647,31.23434,21.14171,34.43969,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1964-10-01,37.95301,33.7431,46.38577,43.97019,30.45716,18.20026,45.12215,32.18661,21.46212,34.87455,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1965-01-01,38.86604,33.97285,46.64014,44.18487,30.31543,18.58251,44.87814,32.56752,21.77059,35.62869,30.48205,5.640961,39.2853,68.64509,43.98434,58.07068
1965-04-01,38.80379,34.12844,48.28724,43.59645,30.37538,18.55957,45.61018,32.75797,22.42987,36.09253,31.23724,5.640961,39.2853,68.64509,43.98434,58.07068
1965-07-01,39.1358,33.91467,49.29839,43.17494,30.93432,18.97005,46.15921,33.13887,22.7329,36.63419,33.1235,5.640961,39.2853,68.64509,43.98434,58.07068
1965-10-01,39.42631,34.91951,50.50669,43.77057,31.57244,18.86265,47.46061,33.99591,22.32995,37.35225,33.74999,5.640961,39.2853,68.64509,43.98434,58.07068
1966-01-01,39.96582,34.68541,52.29599,42.38733,32.80645,19.40818,47.66396,34.28159,22.53197,39.60967,35.38198,5.640961,39.2853,68.64509,43.98434,58.07068
1966-04-01,39.88282,34.88076,53.36885,41.73768,33.19077,19.513,48.47734,34.94818,23.19777,42.94265,36.07898,5.640961,39.2853,68.64509,43.98434,58.07068
1966-07-01,39.46781,35.13901,55.65152,41.91573,32.03509,19.45806,49.51439,35.13863,23.38242,42.65528,37.28668,5.640961,39.2853,68.64509,43.98434,58.07068
1966-10-01,38.65853,34.87672,56.17654,42.21587,31.26525,20.06057,49.35172,35.80522,24.24916,43.23948,38.58695,5.640961,39.2853,68.64509,43.98434,58.07068
1967-01-01,37.47574,35.35305,57.56897,42.64181,30.96641,19.56941,49.18904,35.61477,24.21549,44.05458,36.85207,5.640961,39.2853,68.64509,43.98434,58.07068
1967-04-01,37.30973,35.09345,58.59617,41.89442,31.73609,19.82403,49.33138,35.99567,23.74302,44.01498,38.32597,5.640961,39.2853,68.64509,43.98434,58.07068
1967-07-01,38.45102,35.40369,58.66465,41.56113,32.06782,19.52511,50.14476,37.13839,24.26002,43.51369,38.33508,5.640961,39.2853,68.64509,43.98434,58.07068
1967-10-01,40.29784,36.06292,59.44076,42.51346,32.32811,20.12512,50.7548,37.99543,24.79983,44.87527,38.34544,5.640961,39.2853,68.64509,43.98434,58.07068
1968-01-01,39.40556,36.33709,60.03425,42.42774,32.56403,20.37279,51.95452,38.9477,24.82698,44.71503,39.28909,5.640961,39.2853,68.64509,43.98434,58.07068
1968-04-01,41.08636,37.06892,61.58647,44.21123,32.59917,21.17357,44.61379,40.28087,25.34398,46.83574,39.97007,5.640961,39.2853,68.64509,43.98434,58.07068
1968-07-01,42.97467,37.6981,62.7278,45.29902,34.61567,21.69887,54.31332,41.32837,25.39395,48.45485,41.19092,5.640961,39.2853,68.64509,43.98434,58.07068
1968-10-01,44.48948,38.75152,63.73218,46.96292,34.96007,21.65833,56.38744,42.85199,26.74293,49.40443,43.77431,5.640961,39.2853,68.64509,43.98434,58.07068
1969-01-01,45.65151,39.83335,65.42136,49.41822,36.06474,22.70654,55.96041,43.42336,27.82256,50.30584,45.45717,5.640961,39.2853,68.64509,43.98434,58.07068
1969-04-01,46.9173,41.14996,66.24312,49.25267,35.52848,23.41078,58.23787,45.13743,28.70776,52.55745,47.22791,5.640961,39.2853,68.64509,43.98434,58.07068
1969-07-01,48.03784,41.78085,65.42136,50.76573,36.56682,24.20263,58.1972,46.56583,29.65813,54.47527,48.31148,5.640961,39.2853,68.64509,43.98434,58.07068
1969-10-01,49.17913,41.78385,59.76033,52.22334,37.44925,24.13582,58.76657,47.70855,30.56289,54.8488,49.22399,5.640961,39.2853,68.64509,43.98434,58.07068
1970-01-01,49.8224,41.73979,68.86819,52.64778,38.10457,24.87717,60.43399,49.26017,31.6903,56.62316,49.15405,5.640961,39.2853,68.64509,43.98434,58.07068
1970-04-01,50.75618,42.07938,67.6812,51.39502,39.40225,25.71621,60.98302,49.59414,32.73516,57.4008,51.13491,5.640961,39.2853,68.64509,43.98434,58.07068
