date,DEU,AUT,BEL,PRT,ITA,LUX,FRA,NLD,FIN
1958-01-01,23.80216,12.84235,23.80194,19.51131,27.05306,35.92405,33.26723,19.9976,12.97595
1958-02-01,23.90221,12.83384,25.84568,19.48526,26.49979,36.64582,33.39977,19.9976,12.85138
1958-03-01,24.29053,12.67128,22.91583,19.83867,26.46164,35.11373,33.30036,20.28328,12.58148
1958-04-01,23.52717,12.61684,23.02549,19.6678,26.36625,35.31306,33.00215,19.9976,12.76834
1958-05-01,23.81468,12.68976,23.06318,20.45119,26.42348,34.91478,32.77021,20.28328,12.72681
1958-06-01,24.10568,12.73658,22.92246,19.23355,27.07214,34.50668,33.00215,20.28328,12.64377
1958-07-01,23.69374,12.97037,23.34761,19.90816,27.32016,34.20637,32.73707,20.28328,12.60224
1958-08-01,24.59775,12.59336,22.84909,20.84482,27.26293,34.50674,32.73707,20.56896,12.80986
1958-09-01,23.90009,12.54511,22.88672,21.14143,27.72081,34.2763,32.53827,20.85464,12.8929
1958-10-01,23.89166,12.92955,23.05353,21.29742,27.87343,34.30482,32.60453,21.14032,13.059
1958-11-01,24.44781,12.68173,23.30025,21.70563,28.04514,34.76123,32.17378,20.85464,13.39118
1958-12-01,24.54702,12.82769,22.71223,21.09605,28.04514,34.94244,31.90871,21.14032,12.97595
1959-01-01,24.33066,12.96155,22.9244,22.03725,28.15961,34.84642,31.74303,21.426,13.01747
1959-02-01,24.39656,12.93947,23.60132,21.83004,29.09445,34.63419,31.97498,21.426,13.24585
1959-03-01,24.65619,12.65255,23.64244,21.3013,29.20892,35.44227,32.10751,21.71168,13.64032
1959-04-01,24.59815,13.49176,24.28741,21.16237,29.24707,35.5201,32.96902,21.71168,13.51575
1959-05-01,25.61408,13.60973,24.00621,21.17109,29.28523,36.84244,32.73707,22.28304,14.22164
1959-06-01,25.48321,13.44358,24.36824,22.49631,29.11352,36.28133,33.06842,21.99736,13.84793
1959-07-01,25.11666,13.49261,24.25381,22.97558,29.32339,36.73278,33.03529,22.8544,14.03479
1959-08-01,26.60287,13.6492,24.07403,23.07398,30.39177,36.71596,33.03529,22.8544,14.26316
1959-09-01,26.22966,13.5718,24.69518,23.18417,31.05951,36.53562,33.66484,23.14008,14.38773
1959-10-01,27.21662,13.83009,24.94268,23.87982,31.61279,37.02986,34.195,23.42576,14.59535
1959-11-01,26.9539,13.85936,25.84285,23.38784,32.37592,38.90976,34.42694,23.42576,14.71992
1959-12-01,27.06555,14.14194,25.29776,23.81864,32.77656,40.05613,34.69202,23.42576,14.92753
1960-01-01,27.50897,14.21326,25.22667,21.71985,32.66209,40.12361,34.89083,23.71144,15.01058
1960-02-01,27.34925,14.29025,26.15899,23.57428,33.55877,39.78282,35.15591,23.71144,15.07286
1960-03-01,27.73731,14.53999,25.62793,23.45197,34.07389,39.89753,35.15591,23.99712,15.38429
1960-04-01,28.36171,14.65585,25.83116,23.75753,34.13112,39.53804,35.55352,24.56848,15.61266
1960-05-01,28.00785,14.76802,25.87814,22.92253,34.589,39.30262,35.45412,24.56848,15.65419
1960-06-01,28.1541,14.84978,25.74087,23.9089,35.37122,39.68044,35.98427,24.85416,16.00713
1960-07-01,29.19126,14.91648,26.54407,24.20959,35.27582,40.18137,36.28249,24.56848,16.09018
1960-08-01,28.62957,15.16923,26.50836,24.69862,35.42845,40.11031,36.28249,24.85416,15.40505
1960-09-01,29.12148,14.99535,26.51804,24.738,35.88633,40.09113,37.17712,25.13984,16.04866
1960-10-01,29.74496,15.14351,27.16853,24.54518,35.44753,39.94709,36.91204,25.42552,16.17323
1960-11-01,29.51247,15.54747,27.42743,23.30687,35.562,40.03683,37.30966,25.42552,16.36008
1960-12-01,29.92662,15.61714,23.4774,25.28141,35.63831,39.82189,37.27653,25.99688,16.65074
1961-01-01,30.32841,15.0342,21.01629,24.91242,36.21066,40.69669,37.4422,25.42552,16.81683
1961-02-01,30.50789,15.43492,28.21166,25.12103,37.03103,41.00206,37.74041,25.42552,17.04521
1961-03-01,30.80043,15.59843,27.98303,27.33328,36.99287,41.4629,38.07176,25.42552,17.33587
1961-04-01,30.79017,15.4434,28.07045,26.29437,37.35536,41.41696,37.80668,25.99688,17.06597
1961-05-01,30.13836,15.33912,27.95891,26.51648,37.77508,41.88759,37.90609,25.13984,17.37739
1961-06-01,30.13999,15.40215,28.08058,25.86064,38.34743,41.09228,38.13803,25.42552,17.58501
1961-07-01,30.70228,15.64686,28.64893,25.54854,38.97702,41.72038,38.56878,25.7112,18.021
1961-08-01,30.47017,15.30832,28.32174,24.94489,39.05333,42.0985,38.56878,25.99688,17.79262
1961-09-01,30.72169,15.70181,28.15107,25.96185,39.4349,40.74102,38.70132,25.99688,17.58501
1961-10-01,30.48497,15.62648,28.30532,25.84418,40.1408,40.69152,38.56878,25.99688,17.70958
1961-11-01,30.57376,15.54029,28.38036,25.45811,40.69407,40.33487,38.76759,26.28256,18.14557
1961-12-01,31.25683,15.9058,28.41112,25.45808,41.0184,39.29551,39.89417,26.85392,18.12481
1962-01-01,32.62008,15.65835,28.74771,26.71051,41.64798,38.86885,39.56282,26.56824,18.47775
1962-02-01,32.55783,15.98616,28.9076,26.36677,41.76245,39.85067,39.89417,26.85392,18.41547
1962-03-01,32.55783,15.84911,28.32515,25.6044,41.41904,38.97249,40.19238,26.56824,18.20785
1962-04-01,32.05981,16.12786,28.50482,24.58673,41.7243,39.10461,40.0267,26.56824,19.01755
1962-05-01,33.05584,15.40853,29.22015,25.86378,42.27757,37.63485,40.32492,26.85392,18.70613
1962-06-01,33.05584,15.91399,29.37558,27.01567,41.09471,38.8357,40.05984,27.1396,18.58156
1962-07-01,33.1181,15.92784,29.37982,26.01294,42.6019,38.51507,40.6894,27.42528,18.39471
1962-08-01,34.5499,15.99595,29.75255,26.8804,42.67821,38.53088,40.6894,27.42528,18.58156
1962-09-01,33.74062,16.24467,29.73061,25.87022,41.97232,40.28566,40.98761,27.42528,19.05908
1962-10-01,33.18035,16.03025,29.48698,25.56018,42.54467,39.33129,41.12015,27.42528,18.74765
1962-11-01,33.86512,16.01037,29.54824,26.50927,43.46042,41.23458,41.31896,27.71096,18.99679
1962-12-01,32.99359,15.91529,29.72299,25.26569,44.39526,39.0926,40.95448,26.85392,19.28745
1963-01-01,33.1181,16.0296,29.31847,25.96452,44.37618,38.70993,41.05526,26.85392,19.1006
1963-02-01,32.74458,15.91957,29.68928,26.1808,43.32688,38.22626,40.44522,26.85392,18.99679
1963-03-01,33.55386,16.29727,30.54652,26.26987,44.54789,38.24881,36.358,27.71096,18.10405
1963-04-01,33.86512,16.35289,31.39576,26.53347,45.67351,38.86571,41.42128,28.28232,19.22517
