date,DEU,AUT,BEL,PRT,ITA,LUX,FRA,NLD,FIN
1958-01-01,23.80804,12.48485,23.78,19.54612,27.05453,35.94283,33.31395,20.24523,12.97491
1958-02-01,23.90812,12.47658,25.82185,19.52002,26.50123,36.66498,33.44667,20.24523,12.85035
1958-03-01,24.29654,12.31854,22.8947,19.87407,26.46307,35.13209,33.34713,20.53445,12.58047
1958-04-01,23.53298,12.26562,23.00426,19.70288,26.36768,35.33153,33.0485,20.24523,12.76731
1958-05-01,23.82056,12.33651,23.04191,20.48768,26.42492,34.93304,32.81623,20.53445,12.72579
1958-06-01,24.11164,12.38202,22.90132,19.26787,27.07361,34.52472,33.0485,20.53445,12.64275
1958-07-01,23.69959,12.6093,23.32609,19.94367,27.32165,34.22425,32.78305,20.53445,12.60123
1958-08-01,24.60382,12.24279,22.82803,20.88201,27.26441,34.52478,32.78305,20.82366,12.80883
1958-09-01,23.90599,12.19588,22.86562,21.17914,27.72231,34.29423,32.58396,21.11288,12.89186
1958-10-01,23.89756,12.56962,23.03228,21.33541,27.87495,34.32276,32.65032,21.4021,13.05794
1958-11-01,24.45385,12.3287,23.27876,21.74435,28.04666,34.7794,32.21896,21.11288,13.3901
1958-12-01,24.55309,12.4706,22.69129,21.13369,28.04666,34.96071,31.95351,21.4021,12.97491
1959-01-01,24.33668,12.60073,22.90326,22.07657,28.16114,34.86465,31.78761,21.69132,13.01642
1959-02-01,24.4026,12.57926,23.57956,21.86899,29.09603,34.6523,32.01988,21.69132,13.24478
1959-03-01,24.66228,12.30033,23.62065,21.33931,29.2105,35.4608,32.1526,21.98053,13.63922
1959-04-01,24.60423,13.11618,24.26502,21.20012,29.24866,35.53867,33.01531,21.98053,13.51466
1959-05-01,25.62042,13.23087,23.98408,21.20886,29.28682,36.86171,32.78305,22.55897,14.2205
1959-06-01,25.48951,13.06935,24.34578,22.53644,29.11511,36.30031,33.11486,22.26975,13.84682
1959-07-01,25.12287,13.11701,24.23145,23.01657,29.32498,36.75199,33.08168,23.1374,14.03366
1959-08-01,26.60944,13.26924,24.05184,23.11514,30.39342,36.73516,33.08168,23.1374,14.26202
1959-09-01,26.23614,13.19399,24.67241,23.22553,31.0612,36.55473,33.71212,23.42662,14.38657
