date,AUT,BEL,CHE,CZE,DEU,DNK,ESP,EST,FIN,FRA,GRC,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE
2010-10-01,92.7473,100.0726,94.36705,90.28667,95.58634,97.73859,105.9369,84.21982,108.873,100.339,116.5321,85.11987,58.32376,76.90987,108.6316,92.83668,101.6462,90.22741,107.1521,105.3816,85.20629,101.1028,87.67347,94.47694,104.2582
2010-11-01,94.53319,101.6703,94.36705,89.95268,95.00645,98.19854,108.4077,83.95498,108.9872,101.659,115.0141,87.022,67.04937,81.41695,109.3684,88.96848,103.0845,88.2606,108.2854,102.2584,85.47983,102.7571,89.0449,95.12671,107.0078
2010-12-01,94.29507,99.20116,95.33616,89.61871,96.84278,98.77348,105.8339,83.82256,110.4708,102.9887,115.1309,81.67228,66.43704,85.02856,110.2105,91.69054,101.4544,89.98156,108.6975,103.5681,83.70184,104.2167,90.02449,97.33593,105.9767
2011-01-01,95.72379,100.9441,97.0321,91.84525,96.16624,98.31353,107.0693,88.85456,111.9544,104.1914,112.7956,87.49752,62.45695,85.85282,107.8947,93.83954,104.7147,87.64597,107.049,99.43749,86.16367,102.3678,90.90612,94.08707,106.2058
2011-02-01,96.67625,103.1227,98.6069,90.73198,97.13273,97.04868,106.2457,87.53035,109.4436,104.5532,111.7447,88.92411,62.76311,85.62896,110.8421,92.83668,108.1669,89.12108,108.0793,99.43749,88.07841,104.7032,91.29796,93.43729,107.8098
2011-03-01,96.5572,105.5919,94.36705,90.39799,97.51933,99.80836,105.9369,90.57603,108.3024,103.2429,111.2776,86.07093,64.14083,84.7834,111.1579,87.10602,106.4408,90.35034,107.4612,98.22853,87.39458,102.1732,88.84898,94.99675,106.6641
2011-04-01,96.79532,102.687,96.66869,90.84331,97.71263,98.19854,105.4221,89.91393,109.2154,101.4927,107.8914,86.42758,63.98775,85.59549,112.2105,86.53295,105.1942,92.19422,103.9581,94.90387,88.35195,103.3409,88.35918,93.95712,105.4039
2011-05-01,96.91438,101.9608,98.72804,93.18118,98.67912,101.7631,105.5251,90.31119,110.2425,104.8074,108.4752,85.11987,64.60007,89.99001,110.1053,89.68481,105.2901,92.0713,105.2975,89.46352,87.80488,100.9082,88.84898,96.2963,107.1224
2011-06-01,96.5572,100.3631,96.30527,91.84525,97.13273,99.80836,103.3631,92.03266,107.0471,101.9816,104.3884,85.00099,64.29391,96.351,109.2632,93.26647,102.1256,93.5464,104.5763,95.6091,87.39458,98.67013,90.90612,92.39766,103.4562
2011-07-01,96.31908,101.0893,98.84918,90.50932,100.2255,95.78383,104.0837,95.87288,104.3081,103.0767,110.8105,85.59541,57.71144,94.36375,108.8421,90.40115,101.9338,93.17763,107.2551,95.20612,88.07841,100.2271,91.59184,93.6972,105.9767
2011-08-01,96.67625,105.1561,95.82072,91.73392,99.45232,98.19854,103.466,94.41624,107.0471,102.2065,105.9064,85.71429,66.28397,93.48566,107.8947,89.54155,105.7695,92.80885,107.5642,98.53077,89.99316,101.0055,93.15919,92.65757,103.3416
2011-09-01,96.91438,102.2513,98.72804,91.51127,97.90593,96.47375,103.9808,89.7815,107.0471,101.4927,111.3944,87.14088,65.82472,91.75507,107.6842,91.11748,98.86527,95.26736,105.4005,100.5457,90.81377,98.96205,91.6898,95.51657,105.2893
2011-10-01,96.67625,99.34641,97.88007,91.39995,99.06572,96.93369,101.2011,90.44361,106.8188,101.7078,102.2867,87.25976,62.91619,91.46886,106.2105,90.97421,97.33099,94.40688,103.4429,96.71732,90.40347,99.6432,93.06123,95.12671,105.2893
