date,country_code,country,series_id,frequency,source,value
1955-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,22.26798
1955-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,22.64985
1955-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,22.6819
1955-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.89786
1956-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.51834
1956-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.20179
1956-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.60008
1956-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.33073
1957-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.10879
1957-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.52589
1957-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.22944
1957-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.42415
1958-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.16551
1958-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,22.9825
1958-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.00658
1958-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.00078
1959-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.36782
1959-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.19829
1959-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.31856
1959-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.33772
1960-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.64753
1960-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.79292
1960-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.49903
1960-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.00046
1961-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.71327
1961-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.0108
1961-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.34776
1961-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.33945
1962-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.63373
1962-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.00675
1962-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.59369
1962-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.5588
1963-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.8239
1963-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.52815
1963-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.96758
1963-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.63554
1964-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.3482
1964-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.07015
1964-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.49506
1964-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.71199
1965-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.94154
1965-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.09698
1965-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.8834
1965-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.88731
1966-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.65343
1966-04-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.8486
1966-07-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.10661
1966-10-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.84456
1967-01-01,BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.32046
