date,country_code,country,series_id,frequency,source,value
1958-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.00423
1958-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.82173
1958-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.06981
1958-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.3015
1959-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.46719
1959-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.23805
1959-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.98948
1959-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.08538
1960-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.53865
1960-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.18152
1960-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.98794
1960-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.73536
1961-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.55313
1961-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.36368
1961-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.63895
1961-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.77946
1962-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.58663
1962-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.73192
1962-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.81123
1962-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.3546
1963-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.14704
1963-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.93576
1963-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.86977
1963-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.99431
1964-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,36.36419
1964-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,36.46797
1964-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.42274
1964-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.96239
1965-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.87564
1965-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.81338
1965-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.14547
1965-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.43605
1966-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.9757
1966-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.89268
1966-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.47756
1966-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.66809
1967-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.485
1967-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.31896
1967-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.46053
1967-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.3078
1968-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.41529
1968-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,41.09652
1968-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,42.98529
1968-10-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.50047
1969-01-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.6628
1969-04-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.9289
1969-07-01,DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,48.04972
