date,country_code,country,series_id,frequency,source,value
1965-01-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.62819
1965-04-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.387
1965-07-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.28231
1965-10-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.9118
1966-01-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.55162
1966-04-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,36.25196
1966-07-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.46545
1966-10-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.77195
1967-01-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.02875
1967-04-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.50972
1967-07-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.51887
1967-10-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.52928
1968-01-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.47746
1968-04-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.16171
1968-07-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,41.3884
1968-10-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,43.98418
1969-01-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.67511
1969-04-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,47.45433
1969-07-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,48.5431
1969-10-01,ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.45999
