date,country_code,country,series_id,frequency,source,value
1998-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,43.98434
1998-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,42.14436
1998-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.8766
1998-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.40506
1999-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.21893
1999-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.03804
1999-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.10265
1999-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,41.50511
2000-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.80247
2000-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.28802
2000-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.97903
2000-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.78879
2001-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.03995
2001-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,47.75988
2001-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.03995
2001-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,51.82079
2002-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,50.4083
2002-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,53.32156
2002-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,54.42507
2002-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,56.45553
2003-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,57.77974
2003-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.66255
2003-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,60.38402
2003-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,62.50276
2004-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,63.03244
2004-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,64.35665
2004-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.1375
2004-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.79961
2005-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.99139
2005-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.46326
2005-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.97926
2005-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.23042
2006-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.62768
2006-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,79.62922
2006-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.90929
2006-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.98389
2007-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.52726
2007-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.55926
2007-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.00066
2007-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,85.67645
2008-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.82256
2008-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,85.23505
2008-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,84.26396
2008-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.68395
2009-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,64.04767
2009-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,59.23637
2009-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,61.57581
2009-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,62.41448
2010-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.19687
2010-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,72.3902
2010-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,78.70227
2010-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.99911
2011-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,88.98698
2011-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.75259
2011-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.35687
2011-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.17877
2012-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.88502
2012-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,91.10571
2012-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.66586
2012-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.04789
2013-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,95.43147
2013-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,96.00529
2013-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.85919
2013-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.72523
2014-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,96.84396
2014-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,100.1104
2014-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,102.4498
2014-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,101.3463
2015-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,100.1104
2015-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,101.3904
2015-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,101.258
2015-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.3006
2016-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,99.44824
2016-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,100.5518
2016-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,105.2748
2016-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,107.2169
2017-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,105.3189
2017-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,108.497
2017-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,106.3783
2017-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,108.8943
2018-01-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,109.7329
2018-04-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,112.4697
2018-07-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,112.2048
2018-10-01,EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.6036
