date,country_code,country,series_id,frequency,source,value
1956-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.49617
1956-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.72388
1956-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.47598
1956-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.06219
1957-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.72581
1957-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.02444
1957-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.06412
1957-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.49548
1958-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.36925
1958-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.97107
1958-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.71668
1958-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.27427
1959-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.9867
1959-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.97107
1959-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.29182
1959-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.48635
1960-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.11679
1960-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.71405
1960-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,36.63207
1960-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.21827
1961-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.80447
1961-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.00356
1961-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,38.66718
1961-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.13172
1962-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.93913
1962-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.19352
1962-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.84608
1962-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,41.18895
1963-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.34133
1963-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,42.61978
1963-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.18773
1963-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.30991
1964-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.49096
1964-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.65387
1964-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.83934
1964-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.18552
1965-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.94116
1965-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.67423
1965-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.22403
1965-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,47.52726
1966-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,47.73089
1966-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,48.54541
1966-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.58392
1966-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.42102
1967-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.25812
1967-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.40066
1967-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,50.21518
1967-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,50.82607
1968-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,52.02748
1968-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.67644
1968-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,54.3896
1968-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,56.46662
1969-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,56.039
1969-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.31966
1969-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.27893
1969-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.84909
1970-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,60.51886
1970-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,61.06866
1970-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,60.82431
1970-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,61.78137
1971-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,62.71807
1971-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,62.84024
1971-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,64.26566
1971-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,65.8336
1972-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,66.58704
1972-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.82918
1972-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.98988
1972-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.08727
1973-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,72.28868
1973-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.51046
1973-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.63042
1973-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.5897
1974-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.21874
1974-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.72781
1974-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,77.09435
1974-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,72.41086
1975-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,69.31568
1975-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.97172
1975-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.78845
1975-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,70.55782
1976-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.04211
1976-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.5897
1976-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.70745
1976-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,77.21653
1977-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,78.09214
1977-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.60564
1977-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.19838
1977-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,75.77075
1978-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.87035
1978-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,78.78448
1978-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,77.7256
1978-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.16917
1979-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.08772
1979-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.22804
1979-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.8345
1979-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.49055
1980-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.06986
1980-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.14651
1980-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.95641
1980-10-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,79.70716
1981-01-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.06021
1981-04-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,79.97874
1981-07-01,FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,79.95158
