date,country_code,country,series_id,frequency,source,value
1962-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.39264
1962-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.84166
1962-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.69822
1962-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.27483
1963-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.24416
1963-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.47453
1963-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.47081
1963-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.24923
1964-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.20452
1964-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.80439
1964-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.9416
1964-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.3828
1965-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,36.14793
1965-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,36.61853
1965-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.16808
1965-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.89661
1966-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.18692
1966-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,43.56848
1966-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,43.27692
1966-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,43.86963
1967-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.69661
1967-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.65643
1967-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.14785
1967-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.52927
1968-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.36669
1968-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,47.51831
1968-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.16101
1968-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,50.12444
1969-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,51.03897
1969-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,53.3234
1969-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,55.26918
1969-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,55.64814
1970-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,57.44837
1970-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.23734
1970-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,60.01099
1970-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,62.15535
1971-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,63.38285
1971-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,63.90458
1971-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.46523
1971-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.90257
1972-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,70.56509
1972-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.36375
1972-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.60947
1972-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.1689
1973-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.37528
1973-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,85.69687
1973-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,88.40647
1973-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,88.88486
1974-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,88.53152
1974-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,85.05149
1974-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.06261
1974-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,84.80807
1975-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.75523
1975-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.91553
1975-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,89.40474
1975-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.52781
1976-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.08091
1976-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.46511
1976-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.62585
1976-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,101.5753
1977-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.19766
1977-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.64807
1977-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,101.7682
1977-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,102.7707
1978-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,104.6309
1978-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,106.5439
1978-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,107.6852
1978-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,111.2396
1979-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,113.6816
1979-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.988
1979-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,113.9704
1979-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,113.3612
1980-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,114.8359
1980-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,117.0638
1980-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,114.6046
1980-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,113.1154
1981-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,113.1049
1981-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,113.6728
1981-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,119.0801
1981-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,118.4654
1982-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,118.6847
1982-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,117.2528
1982-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,116.9076
1982-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.6704
1983-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.9169
1983-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.5187
1983-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,118.3469
1983-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,117.6693
1984-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,117.9266
1984-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,118.5002
1984-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,121.5301
1984-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,118.449
1985-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,120.0553
1985-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,121.443
1985-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,125.4115
1985-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,126.5201
1986-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,121.6542
1986-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,125.3384
1986-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,123.3739
1986-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,122.3208
1987-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,122.3977
1987-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,120.112
1987-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,120.7061
1987-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,123.5395
1988-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,128.0412
1988-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,126.9276
1988-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,128.5638
1988-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,126.9834
1989-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,129.3478
1989-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,130.4596
1989-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,129.8263
1989-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,130.4885
1990-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,130.2418
1990-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,128.5005
1990-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,120.4481
1990-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,129.072
1991-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,125.7033
1991-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,125.2211
1991-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,127.2352
1991-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,123.9277
1992-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,124.6346
1992-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,122.7831
1992-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,124.7923
1992-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,123.4142
1993-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,119.2046
1993-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,121.4447
1993-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,121.0818
1993-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,121.2299
1994-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,119.9912
1994-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,121.0871
1994-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,124.9091
1994-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,123.8895
1995-01-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,125.7773
1995-04-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,123.6749
1995-07-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,123.799
1995-10-01,GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,125.6767
