date,country_code,country,series_id,frequency,source,value
1955-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,22.07482
1955-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,22.55181
1955-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,22.97155
1955-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.14963
1956-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,23.19414
1956-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.48518
1956-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,24.94308
1956-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.22292
1957-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,25.87161
1957-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.33588
1957-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.84466
1957-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.35496
1958-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.67295
1958-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.62207
1958-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.43612
1958-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.98942
1959-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.82256
1959-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.21686
1959-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.25987
1959-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.25684
1960-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.4334
1960-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.699
1960-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.53213
1960-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.55121
1961-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,36.74685
1961-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.82801
1961-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.15721
1961-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.61996
1962-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,41.61209
1962-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,41.70113
1962-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,42.41978
1962-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,43.46915
1963-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,44.08604
1963-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.90495
1963-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.7826
1963-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,47.37405
1964-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,47.61573
1964-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.53456
1964-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,45.58696
1964-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.38829
1965-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.64268
1965-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,48.28986
1965-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,49.30107
1965-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,50.50943
1966-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,52.29884
1966-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,53.37175
1966-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,55.65454
1966-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,56.17959
1967-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,57.57209
1967-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.59935
1967-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.66784
1967-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,59.44398
1968-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,60.03751
1968-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,61.58981
1968-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,62.73121
1968-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,63.73564
1969-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,65.42491
1969-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,66.24671
1969-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,65.42491
1969-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,59.76358
1970-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.87193
1970-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.68488
1970-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.73496
1970-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.59799
1971-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.47794
1971-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.25183
1971-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.6408
1971-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,70.22357
1972-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.12397
1972-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.54794
1972-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,70.7081
1972-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,75.19801
1973-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,70.15897
1973-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,78.68658
1973-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.69062
1973-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.82117
1974-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.91808
1974-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,85.21149
1974-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.11054
1974-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,77.13611
1975-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.32587
1975-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.71214
1975-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.51833
1975-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,75.77944
1976-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,78.36356
1976-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.4026
1976-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,84.56546
1976-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.89252
1977-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.50491
1977-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,84.63007
1977-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.07959
1977-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.62737
1978-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.11054
1978-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,84.63007
1978-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.98808
1978-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.54125
1979-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,89.60451
1979-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,88.73236
1979-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,92.38244
1979-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,96.51704
1980-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,99.59134
1980-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.21981
1980-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.47929
1980-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,95.25857
1981-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,95.38741
1981-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,96.37444
1981-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.91363
1981-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.79518
1982-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.79518
1982-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,92.58422
1982-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,91.67614
1982-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,89.66258
1983-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,89.6231
1983-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.96487
1983-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.45222
1983-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,91.36029
1984-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.88651
1984-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,92.46577
1984-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.16348
1984-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.57126
1985-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.29488
1985-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.00555
1985-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.63726
1985-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.43985
1986-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,96.92719
1986-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.16408
1986-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.74334
1986-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.8223
1987-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.46696
1987-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,102.0203
1987-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,100.4016
1987-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,102.573
1988-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,105.8895
1988-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,106.3238
1988-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,106.9555
1988-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,109.7982
1989-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,110.0351
1989-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,110.193
1989-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,110.9431
1989-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,113.3515
1990-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,111.1043
1990-04-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,111.2381
1990-07-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,111.0709
1990-10-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,110.2013
1991-01-01,ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,109.8669
