date,country_code,country,series_id,frequency,source,value
1998-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.16619
1998-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,59.21681
1998-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.35721
1998-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,59.21681
1999-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,51.24164
1999-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,55.6829
1999-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,51.52818
1999-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.70487
2000-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,51.24164
2000-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,48.56734
2000-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,53.19962
2000-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,50.14326
2001-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,56.20821
2001-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,56.49475
2001-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,55.77842
2001-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,61.36581
2002-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,56.78128
2002-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,61.65234
2002-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,59.02579
2002-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,64.18338
2003-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,69.34097
2003-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,62.36867
2003-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.25119
2003-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,75.78796
2004-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.45654
2004-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.7851
2004-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,77.26839
2004-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.61414
2005-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.47373
2005-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.7574
2005-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.94843
2005-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.53295
2006-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.78319
2006-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,91.11748
2006-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,85.6256
2006-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.61987
2007-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.24928
2007-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,92.02483
2007-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.07545
2007-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.38969
2008-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,95.08118
2008-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,100.2865
2008-07-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.55588
2008-10-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,84.62273
2009-01-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.23495
2009-04-01,LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.18147
