date,country_code,country,series_id,frequency,source,value
2000-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,57.44724
2000-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,58.26675
2000-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,59.6599
2000-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,61.95452
2001-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,64.49498
2001-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,65.35546
2001-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,66.25691
2001-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,66.21594
2002-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.32227
2002-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,69.33006
2002-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.21491
2002-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.2227
2003-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.01782
2003-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.77975
2003-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,77.3612
2003-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,79.00021
2004-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.59824
2004-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.17189
2004-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.76214
2004-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.37677
2005-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.76993
2005-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.58062
2005-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,88.0967
2005-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.22741
2006-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,91.12887
2006-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,91.90739
2006-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.5464
2006-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.12006
2007-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.77566
2007-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.09568
2007-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.5464
2007-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.44786
2008-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,96.33272
2008-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,92.93178
2008-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,88.99815
2008-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,84.73673
2009-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.24708
2009-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.79636
2009-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,72.8949
2009-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,76.29584
2010-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,79.65581
2010-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.52407
2010-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.35915
2010-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,89.48986
2011-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,89.03913
2011-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,92.60397
2011-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,93.75128
2011-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.16103
2012-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.6849
2012-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.39807
2012-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.5044
2012-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,99.03708
2013-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.64393
2013-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.23418
2013-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.29953
2013-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.05368
2014-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,96.61954
2014-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,96.41467
2014-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.43905
2014-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,97.48003
2015-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,98.46343
2015-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,100.3893
2015-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,101.4136
2015-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,100.3073
2016-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,101.5366
2016-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,104.4868
2016-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,103.4214
2016-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,109.8545
2017-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,111.4116
2017-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,114.2799
2017-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,114.5667
2017-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.3862
2018-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,116.7794
2018-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.755
2018-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,116.4925
2018-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,116.8613
2019-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,117.2301
2019-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,116.7384
2019-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,117.7218
2019-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,116.9433
2020-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,116.8613
2020-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,109.4038
2020-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.714
2020-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,119.5247
2021-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,120.9998
2021-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,122.229
2021-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,124.4007
2021-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,124.032
2022-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,125.3841
2022-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,125.3841
2022-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,122.7208
2022-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,120.9178
2023-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,118.0086
2023-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,117.1891
2023-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,114.8945
2023-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,116.1237
2024-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,115.1403
2024-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,112.8867
2024-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,114.116
2024-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,113.6243
2025-01-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,114.5257
2025-04-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,117.4759
2025-07-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,119.5247
2025-10-01,LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,121.4505
