date,country_code,country,series_id,frequency,source,value
1955-01-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,10.46499
1955-02-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,10.47634
1955-03-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,10.45415
1955-04-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,10.71158
1955-05-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,10.58335
1955-06-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,10.81022
1955-07-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,10.92931
1955-08-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,10.98955
1955-09-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.09531
1955-10-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.07094
1955-11-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.30383
1955-12-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.58093
1956-01-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.17863
1956-02-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.29384
1956-03-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.17587
1956-04-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.2314
1956-05-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.30641
1956-06-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.31255
1956-07-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.43305
1956-08-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.71014
1956-09-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.65256
1956-10-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.63687
1956-11-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.70541
1956-12-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.55947
1957-01-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.75744
1957-02-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.68448
1957-03-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.96296
1957-04-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,11.9073
1957-05-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.13683
1957-06-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.06909
1957-07-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.13284
1957-08-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.2028
1957-09-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.38194
1957-10-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.20111
1957-11-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.25924
1957-12-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.26711
1958-01-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.48485
1958-02-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.47658
1958-03-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.31854
1958-04-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.26562
1958-05-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.33651
1958-06-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.38202
1958-07-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.6093
1958-08-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.24279
1958-09-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.19588
1958-10-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.56962
1958-11-01,AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.3287
