date,country_code,country,series_id,frequency,source,value
1955-01-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.50438
1955-02-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.22743
1955-03-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.07213
1955-04-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.28043
1955-05-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.34039
1955-06-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.32871
1955-07-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.55701
1955-08-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.65484
1955-09-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.83386
1955-10-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.8112
1955-11-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.27759
1955-12-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.60478
1956-01-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.50141
1956-02-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.01472
1956-03-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.03889
1956-04-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.77105
1956-05-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.79375
1956-06-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.04056
1956-07-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.42051
1956-08-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.50119
1956-09-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.87854
1956-10-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.95178
1956-11-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.74464
1956-12-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.29577
1957-01-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.70118
1957-02-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.86759
1957-03-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.75759
1957-04-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.52729
1957-05-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.94353
1957-06-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.10685
1957-07-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.93786
1957-08-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.69356
1957-09-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.05692
1957-10-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.84628
1957-11-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.24506
1957-12-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.1811
1958-01-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.78
1958-02-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.82185
1958-03-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.8947
1958-04-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.00426
1958-05-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.04191
1958-06-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.90132
1958-07-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.32609
1958-08-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.82803
1958-09-01,BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.86562
