date,country_code,country,series_id,frequency,source,value
2010-10-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,94.36705
2010-11-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,94.36705
2010-12-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,95.33616
2011-01-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,97.0321
2011-02-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,98.6069
2011-03-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,94.36705
2011-04-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,96.66869
2011-05-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,98.72804
2011-06-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,96.30527
2011-07-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,98.84918
2011-08-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,95.82072
2011-09-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,98.72804
2011-10-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,97.88007
2011-11-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,98.00121
2011-12-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,98.6069
2012-01-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,99.69715
2012-02-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,99.2126
2012-03-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,97.88007
2012-04-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,101.8776
2012-05-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,99.33374
2012-06-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,101.0297
2012-07-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,99.2126
2012-08-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,99.93943
2012-09-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,100.0606
2012-10-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,99.69715
2012-11-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,101.1508
2012-12-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,99.57601
2013-01-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,98.72804
2013-02-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,101.272
2013-03-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,101.3931
2013-04-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,99.45487
2013-05-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,100.6663
2013-06-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,101.5142
2013-07-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,102.8468
2013-08-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,102.4833
2013-09-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,101.9988
2013-10-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,98.84918
2013-11-01,CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,101.6354
