date,country_code,country,series_id,frequency,source,value
1990-01-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,68.19628
1990-02-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.38315
1990-03-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,79.85432
1990-04-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,71.68415
1990-05-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,73.70209
1990-06-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,77.06622
1990-07-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,78.10574
1990-08-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,75.39238
1990-09-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,73.6517
1990-10-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,73.42573
1990-11-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,72.10072
1990-12-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,89.26626
1991-01-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,68.82076
1991-02-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,63.4753
1991-03-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.54115
1991-04-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,61.09614
1991-05-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,57.63534
1991-06-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,57.93736
1991-07-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,55.32809
1991-08-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,58.02663
1991-09-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,51.33786
1991-10-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,51.96937
1991-11-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,51.89744
1991-12-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,58.66818
1992-01-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,52.97253
1992-02-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,53.10062
1992-03-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,53.09194
1992-04-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,55.11157
1992-05-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,53.80439
1992-06-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,52.83488
1992-07-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,53.78328
1992-08-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,54.05801
1992-09-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,54.63815
1992-10-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,54.24679
1992-11-01,CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,54.425
