date,country_code,country,series_id,frequency,source,value
1958-01-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.80804
1958-02-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.90812
1958-03-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.29654
1958-04-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.53298
1958-05-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.82056
1958-06-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.11164
1958-07-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.69959
1958-08-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.60382
1958-09-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.90599
1958-10-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.89756
1958-11-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.45385
1958-12-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.55309
1959-01-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.33668
1959-02-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.4026
1959-03-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.66228
1959-04-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.60423
1959-05-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.62042
1959-06-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.48951
1959-07-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.12287
1959-08-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.60944
1959-09-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.23614
1959-10-01,DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.22335
