date,country_code,country,series_id,frequency,source,value
1965-01-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.79436
1965-02-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.76159
1965-03-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.32863
1965-04-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.17464
1965-05-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.83899
1965-06-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.14737
1965-07-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.68091
1965-08-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.05498
1965-09-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.11103
1965-10-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.36046
1965-11-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.00694
1965-12-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.368
1966-01-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.86951
1966-02-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.97987
1966-03-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.80546
1966-04-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.9472
1966-05-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.30239
1966-06-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.50627
1966-07-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.23408
1966-08-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.75744
1966-09-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.40482
1966-10-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.56347
1966-11-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.17055
1966-12-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.58183
1967-01-01,ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.86788
