date,country_code,country,series_id,frequency,source,value
1958-01-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.97491
1958-02-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.85035
1958-03-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.58047
1958-04-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.76731
1958-05-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.72579
1958-06-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.64275
1958-07-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.60123
1958-08-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.80883
1958-09-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.89186
1958-10-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,13.05794
1958-11-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,13.3901
1958-12-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,12.97491
1959-01-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,13.01642
1959-02-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,13.24478
1959-03-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,13.63922
1959-04-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,13.51466
1959-05-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,14.2205
1959-06-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,13.84682
1959-07-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,14.03366
1959-08-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,14.26202
1959-09-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,14.38657
1959-10-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,14.59417
1959-11-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,14.71873
1959-12-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,14.92633
1960-01-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.00937
1960-02-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.07165
1960-03-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.38305
1960-04-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.61141
1960-05-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.65292
1960-06-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.00584
1960-07-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.08888
1960-08-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.40381
1960-09-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.04736
1960-10-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.17192
1960-11-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.35876
1960-12-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.6494
1961-01-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.81548
1961-02-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.04383
1961-03-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.33447
1961-04-01,FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.06459
