date,country_code,country,series_id,frequency,source,value
1956-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.54041
1956-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.00951
1956-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.93859
1956-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.36994
1956-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.83448
1956-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.96721
1956-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.39856
1956-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.39856
1956-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.63083
1956-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.99582
1956-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.06219
1956-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.12855
1957-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.52672
1957-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.69263
1957-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.95808
1957-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.65945
1957-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.22353
1957-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.19035
1957-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.95351
1957-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.95351
1957-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.28533
1957-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.92033
1957-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.58396
1957-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.98213
1958-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.31395
1958-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.44667
1958-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.34713
1958-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.0485
1958-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.81623
1958-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.0485
1958-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.78305
1958-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.78305
1958-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.58396
1958-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.65032
1958-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.21896
1958-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.95351
1959-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.78761
1959-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.01988
1959-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.1526
1959-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.01531
1959-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.78305
1959-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.11486
1959-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.08168
1959-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.08168
1959-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.71212
1959-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.24302
1959-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.47529
1959-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.74074
1960-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.93982
1960-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.20528
1960-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.20528
1960-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.60345
1960-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.50391
1960-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.03481
1960-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.33344
1960-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.33344
1960-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.22933
1960-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.96388
1960-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.36205
1960-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.32887
1961-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.49478
1961-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.79341
1961-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.12522
1961-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.85977
1961-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.95932
1961-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.19159
1961-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.62294
1961-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.62294
1961-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.75566
1961-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.62294
1961-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.82203
1961-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.95019
1962-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.61838
1962-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.95019
1962-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.24882
1962-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.08291
1962-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.38155
1962-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.1161
1962-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.74654
1962-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.74654
1962-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.04517
1962-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.17789
1962-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.37698
1962-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.01199
1963-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.11292
1963-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.50202
1963-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.40906
1963-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.47945
1963-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,43.18994
1963-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,43.18994
1963-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.35063
1963-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.35063
1963-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,43.86192
1963-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.10628
1963-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.10628
1963-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.71717
1964-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.6335
1964-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.38914
1964-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.45023
1964-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.87786
1964-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.75568
1964-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.32806
1964-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.5339
1964-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.5339
1964-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.45023
1964-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.51132
1964-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.45023
1964-12-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.59499
1965-01-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.65608
1965-02-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.0837
1965-03-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.0837
1965-04-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.32806
1965-05-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.57241
1965-06-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,46.12222
1965-07-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,46.06112
1965-08-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,46.06112
1965-09-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,46.54984
1965-10-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,47.46617
1965-11-01,FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,47.46617
