date,country_code,country,series_id,frequency,source,value
1948-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.26361
1948-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.26361
1948-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.26361
1948-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.16338
1948-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.26361
1948-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.46408
1948-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.76478
1948-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.06549
1948-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.16572
1948-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.26595
1948-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.26595
1948-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.46642
1949-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.56666
1949-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.76712
1949-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.96759
1949-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.16806
1949-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.36853
1949-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.66923
1949-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.8697
1949-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.07016
1949-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.07016
1949-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.07016
1949-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.07016
1949-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.1704
1950-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.37086
1950-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.57133
1950-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.87203
1950-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.0725
1950-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.47344
1950-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.77414
1950-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.17508
1950-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.27531
1950-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.27531
1950-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.17508
1950-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.07484
1950-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.17508
1951-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.27531
1951-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.27531
1951-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.17508
1951-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.97461
1951-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.07484
1951-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.67624
1951-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.37788
1951-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.67859
1951-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.47812
1951-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.97695
1951-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.37554
1951-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.97461
1952-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.77414
1952-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.67391
1952-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.47344
1952-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.27297
1952-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.97227
1952-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.67157
1952-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.57133
1952-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.67157
1952-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.0725
1952-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.67391
1952-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.07484
1952-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.37554
1953-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.47578
1953-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.57601
1953-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.77648
1953-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.97695
1953-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.97695
1953-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.87671
1953-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.77648
1953-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.97695
1953-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.57835
1953-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.38022
1953-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.88139
1953-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.88139
1954-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.48045
1954-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.17975
1954-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.27999
1954-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.58069
1954-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.88139
1954-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.98162
1954-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.08186
1954-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.18209
1954-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.38256
1954-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.58303
1954-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.88373
1954-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.18443
1955-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.3849
1955-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.58537
1955-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.6856
1955-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.6856
1955-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.6856
1955-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.58537
1955-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.58537
1955-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.78584
1955-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.18677
1955-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.5877
1955-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.8884
1955-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.78817
1956-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.48747
1956-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.18677
1956-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.08654
1956-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.18677
1956-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.18677
1956-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.18677
1956-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.9863
1956-08-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.88607
1956-09-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.6856
1956-10-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.6856
1956-11-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.78584
1956-12-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.08654
1957-01-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.38724
1957-02-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.5877
1957-03-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.5877
1957-04-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.5877
1957-05-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.68794
1957-06-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.98864
1957-07-01,GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.38958
