date,country_code,country,series_id,frequency,source,value
1962-01-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.58119
1962-02-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.37809
1962-03-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.21862
1962-04-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.65419
1962-05-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.55783
1962-06-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.31297
1962-07-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.61015
1962-08-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.44194
1962-09-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.04259
1962-10-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.31854
1962-11-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.35573
1962-12-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.15024
1963-01-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.47111
1963-02-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.6207
1963-03-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.64067
1963-04-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.24859
1963-05-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.60298
1963-06-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.57203
1963-07-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.72006
1963-08-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.87988
1963-09-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.8125
1963-10-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.03401
1963-11-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.11164
1963-12-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.60202
1964-01-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.42362
1964-02-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.81775
1964-03-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.37221
1964-04-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.83779
1964-05-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.96149
1964-06-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.61389
1964-07-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.33466
1964-08-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.91535
1964-09-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.57481
1964-10-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.87304
1964-11-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.34261
1964-12-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.93275
1965-01-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.196
1965-02-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.99528
1965-03-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.25251
1965-04-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.93494
1965-05-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.44924
1965-06-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.47141
1965-07-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.2487
1965-08-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.61175
1965-09-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.64381
1965-10-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.41706
1965-11-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.18388
1965-12-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.08887
1966-01-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.36517
1966-02-01,GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.38084
