date,country_code,country,series_id,frequency,source,value
1985-01-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.19281
1985-02-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.05862
1985-03-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.04268
1985-04-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,43.70079
1985-05-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.81903
1985-06-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.68484
1985-07-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,46.96605
1985-08-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.68484
1985-09-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.31105
1985-10-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.04268
1985-11-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.7743
1985-12-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,43.70079
1986-01-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.46119
1986-02-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.23754
1986-03-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.28227
1986-04-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,47.41334
1986-05-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.26632
1986-06-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.35578
1986-07-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,46.65294
1986-08-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.75835
1986-09-01,HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,46.02673
