date,country_code,country,series_id,frequency,source,value
1975-07-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.479125
1975-08-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.568215
1975-09-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.345487
1975-10-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.286093
1975-11-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.83549
1975-12-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.701853
1976-01-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.932006
1976-02-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.649883
1976-03-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.672156
1976-04-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.716702
1976-05-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.021097
1976-06-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,5.813217
1976-07-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.021097
1976-08-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.392312
1976-09-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.206704
1976-10-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.206704
1976-11-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.19928
1976-12-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.028522
1977-01-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.087916
1977-02-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.325493
1977-03-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.221553
1977-04-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.273523
1977-05-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.370039
1977-06-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.5111
1977-07-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.414585
1977-08-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.518524
1977-09-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.555646
1977-10-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.726405
1977-11-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.696707
1977-12-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.934285
1978-01-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.904588
1978-02-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.704132
1978-03-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.874891
1978-04-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.889739
1978-05-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,6.741254
1978-06-01,IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,7.119893
