date,country_code,country,series_id,frequency,source,value
1998-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.60022
1998-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.58204
1998-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.09271
1998-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.61379
1998-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.1123
1998-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.39298
1998-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.63058
1998-08-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.67872
1998-09-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.3017
1998-10-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.95263
1998-11-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.52557
1998-12-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.38988
1999-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.29285
1999-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.86387
1999-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.35466
1999-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.9402
1999-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.18081
1999-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.11278
1999-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.50228
1999-08-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.60312
1999-09-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.18643
1999-10-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.83848
1999-11-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.85314
1999-12-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.05324
2000-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.94435
2000-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.23429
2000-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.2763
2000-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.58301
2000-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.115
2000-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.24276
2000-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.73598
2000-08-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.99391
2000-09-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.65123
2000-10-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.46842
2000-11-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.34293
2000-12-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.37744
2001-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.49953
2001-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.2807
2001-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.45638
2001-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.98914
2001-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.53066
2001-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.56818
2001-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.89343
2001-08-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.08623
2001-09-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.34385
2001-10-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.88896
2001-11-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.26882
2001-12-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.80476
2002-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.2173
2002-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.44416
2002-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.82626
2002-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.9316
2002-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.96883
2002-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.52236
2002-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.15178
2002-08-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.58879
2002-09-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.97872
2002-10-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.67768
2002-11-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.98581
2002-12-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.53693
2003-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.65804
2003-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.13676
2003-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.07655
2003-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.4994
2003-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.69416
2003-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.48022
2003-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.7057
2003-08-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.92492
2003-09-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.29787
2003-10-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.97672
2003-11-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.44579
2003-12-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.23162
2004-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.87313
2004-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.68673
2004-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.09007
2004-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.33401
2004-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.05936
2004-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.5275
2004-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.90901
2004-08-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.47639
2004-09-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.07981
2004-10-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.9861
2004-11-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.35255
2004-12-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.11208
2005-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.81207
2005-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.06887
2005-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.53672
2005-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.73177
2005-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.6778
2005-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.48428
2005-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.97353
2005-08-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,43.06573
2005-09-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.07486
2005-10-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.34583
2005-11-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,48.71699
2005-12-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,52.2677
2006-01-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,48.14148
2006-02-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,41.92538
2006-03-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.91892
2006-04-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,48.68441
2006-05-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,50.93728
2006-06-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,53.1697
2006-07-01,ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,55.20665
