date,country_code,country,series_id,frequency,source,value
1955-01-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.82679
1955-02-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.03666
1955-03-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.36101
1955-04-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.20838
1955-05-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.43733
1955-06-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.00971
1955-07-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.02879
1955-08-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.89523
1955-09-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.99063
1955-10-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.02879
1955-11-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.25774
1955-12-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.16235
1956-01-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.35314
1956-02-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.60904
1956-03-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.62025
1956-04-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.30711
1956-05-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.55514
1956-06-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.5933
1956-07-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.9558
1956-08-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.61238
1956-09-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.26107
1956-10-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.28015
1956-11-01,ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.9558
