date,country_code,country,series_id,frequency,source,value
1998-01-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,56.73352
1998-02-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,57.87966
1998-03-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,59.88539
1998-04-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,59.88539
1998-05-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,59.02579
1998-06-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,58.73925
1998-07-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,61.03152
1998-08-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,60.60172
1998-09-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,53.4384
1998-10-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,61.60458
1998-11-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,62.03439
1998-12-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,54.01146
1999-01-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,49.71347
1999-02-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,47.70774
1999-03-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,56.30373
1999-04-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,62.03439
1999-05-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,52.00573
1999-06-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,53.00859
1999-07-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,54.87106
1999-08-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,47.851
1999-09-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,51.86246
1999-10-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,49.5702
1999-11-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,45.84527
1999-12-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.69914
2000-01-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,51.57593
2000-02-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,48.99714
2000-03-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,53.15186
2000-04-01,LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,49.28367
