date,country_code,country,series_id,frequency,source,value
2000-01-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,57.28334
2000-02-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,57.52919
2000-03-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,57.52919
2000-04-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,57.16042
2000-05-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,58.88138
2000-06-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,58.75845
2000-07-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,58.5126
2000-08-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,59.86478
2000-09-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,60.60234
2000-10-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,61.09404
2000-11-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,61.58574
2000-12-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,63.18377
2001-01-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,63.3067
2001-02-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,64.78181
2001-03-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.39644
2001-04-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.02766
2001-05-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.64229
2001-06-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.39644
2001-07-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.37984
2001-08-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.13399
2001-09-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.25691
2001-10-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.25691
2001-11-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.01106
2001-12-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.37984
2002-01-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,67.73203
2002-02-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.74862
2002-03-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,67.48617
2002-04-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,68.83836
2002-05-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,68.5925
2002-06-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,70.55931
2002-07-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,70.43639
2002-08-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,72.15734
2002-09-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,71.05102
2002-10-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,72.52612
2002-11-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,74.61586
2002-12-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,72.52612
2003-01-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,72.8949
2003-02-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,73.01782
2003-03-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,73.14075
2003-04-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,73.8783
2003-05-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,75.23048
2003-06-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,75.23048
2003-07-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,77.07437
2003-08-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,76.7056
2003-09-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,78.30363
2003-10-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,78.6724
2003-11-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,78.30363
2003-12-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,80.02458
2004-01-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,79.90166
2004-02-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,80.27044
2004-03-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,81.62262
2004-04-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,82.60603
2004-05-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,80.76214
2004-06-01,LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,80.14751
