date,country_code,country,series_id,frequency,source,value
1956-01-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.79914
1956-02-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.22071
1956-03-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.08836
1956-04-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.37758
1956-05-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.66679
1956-06-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.95601
1956-07-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.95601
1956-08-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.95601
1956-09-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.24523
1956-10-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.24523
1956-11-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.53445
1956-12-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.82366
1957-01-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.82366
1957-02-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.82366
1957-03-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.53445
1957-04-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.53445
1957-05-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.53445
1957-06-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.82366
1957-07-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.82366
1957-08-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.82366
1957-09-01,NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.53445
