date,country_code,country,series_id,frequency,source,value
1955-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.94613
1955-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.14742
1955-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.61708
1955-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.70012
1955-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.52762
1955-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.70654
1955-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.87904
1955-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.52762
1955-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.84072
1955-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.70654
1955-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.04201
1955-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.93019
1956-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.19856
1956-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.93019
1956-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.63944
1956-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.53403
1956-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.796
1956-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.39985
1956-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.48289
1956-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.28802
1956-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.46694
1956-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.60113
1956-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.71295
1956-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.6235
1957-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.69059
1957-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.95897
1957-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.9366
1957-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.5564
1957-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.47336
1957-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.42221
1957-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.89187
1957-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.13789
1957-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.02606
1957-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.9366
1957-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.64586
1957-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.66822
1958-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.89187
1958-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.84714
1958-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.16025
1958-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.60113
1958-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.53403
1958-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.3839
1958-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.04843
1958-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.95897
1958-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.69059
1958-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.20498
1958-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.27208
1958-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.29444
1959-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.09316
1959-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.51809
1959-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.58518
1959-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.51809
1959-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.62991
1959-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.32322
1959-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.70342
1959-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.09958
1959-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.30086
1959-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.45741
1959-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.25613
1959-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.77052
1960-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.17309
1960-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.99417
1960-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.26255
1960-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.30728
1960-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.53734
1960-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.75457
1960-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.13478
1960-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.13478
1960-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.11241
1960-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.53734
1960-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.6268
1960-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.05173
1961-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.05173
1961-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.02937
1961-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.007
1961-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.98464
1961-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.40315
1961-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.72268
1961-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.20829
1961-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.78977
1961-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.56613
1961-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.70031
1961-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.39362
1961-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.96869
1962-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.56613
1962-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.99106
1962-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.70031
1962-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.32653
1962-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.23707
1962-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.96869
1962-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.32653
1962-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.46072
1962-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.63964
1962-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.15403
1962-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.13166
1962-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.50545
1963-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.662
1963-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.01984
1963-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.70673
1963-04-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.06457
1963-05-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.66842
1963-06-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.0422
1963-07-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.36173
1963-08-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.80261
1963-09-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.33937
1963-10-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.29464
1963-11-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.24991
1963-12-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.60774
1964-01-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.45119
1964-02-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.27227
1964-03-01,NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.01031
