date,country_code,country,series_id,frequency,source,value
1985-01-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.94236
1985-02-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.70292
1985-03-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.75336
1985-04-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.13981
1985-05-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.10032
1985-06-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.60373
1985-07-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.06073
1985-08-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.47681
1985-09-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.69456
1985-10-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.80365
1985-11-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.59839
1985-12-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.44458
1986-01-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.09864
1986-02-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.23122
1986-03-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.17126
1986-04-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.66525
1986-05-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.49123
1986-06-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.86948
1986-07-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.53649
1986-08-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.83304
1986-09-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.95697
1986-10-01,POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.59958
