date,country_code,country,series_id,frequency,source,value
1955-01-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.16946
1955-02-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.48615
1955-03-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.37781
1955-04-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.42996
1955-05-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.57019
1955-06-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.03887
1955-07-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.95364
1955-08-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.28544
1955-09-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.49433
1955-10-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,15.32367
1955-11-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.57124
1955-12-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.51257
1956-01-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,16.79955
1956-02-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.67018
1956-03-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.56437
1956-04-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.07798
1956-05-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.31513
1956-06-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.09246
1956-07-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,17.65981
1956-08-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.12581
1956-09-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.32294
1956-10-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.20034
1956-11-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.24537
1956-12-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.11575
1957-01-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.5011
1957-02-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.40863
1957-03-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.55554
1957-04-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.53787
1957-05-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.13185
1957-06-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.05222
1957-07-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.22156
1957-08-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.91225
1957-09-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.56552
1957-10-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.84106
1957-11-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.21084
1957-12-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,18.7294
1958-01-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.54612
1958-02-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.52002
1958-03-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.87407
1958-04-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.70288
1958-05-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.48768
1958-06-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.26787
1958-07-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,19.94367
1958-08-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,20.88201
1958-09-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.17914
1958-10-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.33541
1958-11-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.74435
1958-12-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.13369
1959-01-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.07657
1959-02-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.86899
1959-03-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.33931
1959-04-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.20012
1959-05-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.20886
1959-06-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.53644
1959-07-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.01657
1959-08-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.11514
1959-09-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.22553
1959-10-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.92242
1959-11-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.42956
1959-12-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.86113
1960-01-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,21.7586
1960-02-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.61634
1960-03-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.4938
1960-04-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,23.79992
1960-05-01,PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,22.96342
