date,country_code,country,series_id,frequency,source,value
1989-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.90691
1989-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.83493
1989-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.63358
1989-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.60094
1989-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,39.68039
1989-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.29381
1989-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.64242
1989-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.08418
1989-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.73631
1989-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.62063
1989-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,49.485
1989-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,52.7931
1990-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.44675
1990-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.37782
1990-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,37.81182
1990-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.926
1990-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.66212
1990-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.43249
1990-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,44.06332
1990-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,40.61444
1990-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,36.44073
1990-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,47.17656
1990-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.106
1990-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.66312
1991-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.34412
1991-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.2212
1991-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,38.93788
1991-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.52662
1991-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.68339
1991-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.57735
1991-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.81436
1991-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.52079
1991-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.03878
1991-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.60672
1991-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.4367
1991-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.63109
1992-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.12412
1992-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.93113
1992-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.29674
1992-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.0528
1992-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.34243
1992-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.93782
1992-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.16968
1992-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.63501
1992-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.86878
1992-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.11635
1992-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.48666
1992-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.97461
1993-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.4334
1993-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.33634
1993-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.86377
1993-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.01227
1993-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.77869
1993-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.32831
1993-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.64891
1993-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.29963
1993-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.77239
1993-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.24086
1993-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.29326
1993-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.50844
1994-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.02407
1994-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.69119
1994-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.01505
1994-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.44068
1994-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.54579
1994-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.87478
1994-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.04681
1994-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.46396
1994-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.56846
1994-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.4054
1994-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.528
1994-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.1921
1995-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.03863
1995-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.36778
1995-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.70827
1995-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.67243
1995-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.12509
1995-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.15951
1995-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.20321
1995-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.6195
1995-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.41206
1995-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.58465
1995-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.46336
1995-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.5498
1996-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.99514
1996-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.83428
1996-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.66544
1996-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.42742
1996-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.13346
1996-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.23096
1996-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.6057
1996-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.52813
1996-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.52443
1996-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.29802
1996-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.83506
1996-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.74593
1997-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.60191
1997-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.1447
1997-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.37773
1997-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.43693
1997-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.23812
1997-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.79684
1997-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.93482
1997-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.04867
1997-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.58718
1997-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.76662
1997-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.99382
1997-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.87593
1998-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.29425
1998-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,34.05664
1998-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.31728
1998-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,35.16553
1998-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.7341
1998-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.20496
1998-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.76218
1998-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.57546
1998-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.10181
1998-10-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.69616
1998-11-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.52606
1998-12-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.23018
1999-01-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.52071
1999-02-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.28094
1999-03-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.57028
1999-04-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.80682
1999-05-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.68834
1999-06-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.50409
1999-07-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.59105
1999-08-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,33.33481
1999-09-01,SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,32.81797
