date,country_code,country,series_id,frequency,source,value
1992-01-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,67.36127
1992-02-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,71.13412
1992-03-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,67.43987
1992-04-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,67.83287
1992-05-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,67.36127
1992-06-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.47484
1992-07-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.10365
1992-08-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,64.84602
1992-09-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.08183
1992-10-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.86784
1992-11-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.31763
1992-12-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,64.13861
1993-01-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,66.57526
1993-02-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,63.66701
1993-03-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,63.3526
1993-04-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,63.4312
1993-05-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,63.274
1993-06-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,62.64519
1993-07-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,63.0382
1993-08-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.94644
1993-09-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.39623
1993-10-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,67.75427
1993-11-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,65.78924
1993-12-01,SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,67.43987
