date,country_code,country,series_id,frequency,source,value
1959-01-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,24.55677
1959-02-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.01153
1959-03-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.92104
1959-04-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.46629
1959-05-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.46629
1959-06-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,25.92104
1959-07-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.55908
1959-08-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.28531
1959-09-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,26.83055
1959-10-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.28531
1959-11-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.28531
1959-12-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.74006
1960-01-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.74006
1960-02-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.74006
1960-03-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.74006
1960-04-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.74006
1960-05-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,27.28531
1960-06-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.19481
1960-07-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.92335
1960-08-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.10433
1960-09-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,28.19481
1960-10-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.55908
1960-11-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.55908
1960-12-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,29.55908
1961-01-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.01384
1961-02-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.46859
1961-03-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.92335
1961-04-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.92335
1961-05-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.46859
1961-06-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.46859
1961-07-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.83286
1961-08-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.3781
1961-09-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,30.92335
1961-10-01,SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,OECD,31.83286
