country_code,country,series_id,frequency,n_obs,start_date,end_date,latest_value,file,activity
AUT,Austria,AUT.M.PRVM.IX.BTE.Y._Z._Z.N,M,853,1955-01-01,2026-01-01,125.0124,AUT_Austria_OECD.csv,BTE
BEL,Belgium,BEL.M.PRVM.IX.BTE.Y._Z._Z.N,M,853,1955-01-01,2026-01-01,130.7189,BEL_Belgium_OECD.csv,BTE
CHE,Switzerland,CHE.M.PRVM.IX.BTE.Y._Z._Z.N,M,183,2010-10-01,2025-12-01,121.1387,CHE_Switzerland_OECD.csv,BTE
CZE,Czech_Republic,CZE.M.PRVM.IX.BTE.Y._Z._Z.N,M,433,1990-01-01,2026-01-01,113.6655,CZE_Czech_Republic_OECD.csv,BTE
DEU,Germany,DEU.M.PRVM.IX.BTE.Y._Z._Z.N,M,817,1958-01-01,2026-01-01,87.27448,DEU_Germany_OECD.csv,BTE
DNK,Denmark,DNK.M.PRVM.IX.BTE.Y._Z._Z.N,M,625,1974-01-01,2026-01-01,152.9322,DNK_Denmark_OECD.csv,BTE
ESP,Spain,ESP.M.PRVM.IX.BTE.Y._Z._Z.N,M,733,1965-01-01,2026-01-01,104.2896,ESP_Spain_OECD.csv,BTE
EST,Estonia,EST.M.PRVM.IX.BTE.Y._Z._Z.N,M,337,1998-01-01,2026-01-01,123.0192,EST_Estonia_OECD.csv,BTE
FIN,Finland,FIN.M.PRVM.IX.BTE.Y._Z._Z.N,M,817,1958-01-01,2026-01-01,115.7204,FIN_Finland_OECD.csv,BTE
FRA,France,FRA.M.PRVM.IX.BTE.Y._Z._Z.N,M,841,1956-01-01,2026-01-01,100.8376,FRA_France_OECD.csv,BTE
GBR,United_Kingdom,GBR.M.PRVM.IX.BTE.Y._Z._Z.N,M,937,1948-01-01,2026-01-01,99.33177,GBR_UK_OECD.csv,BTE
GRC,Greece,GRC.M.PRVM.IX.BTE.Y._Z._Z.N,M,769,1962-01-01,2026-01-01,136.966,GRC_Greece_OECD.csv,BTE
HUN,Hungary,HUN.M.PRVM.IX.BTE.Y._Z._Z.N,M,493,1985-01-01,2026-01-01,111.8684,HUN_Hungary_OECD.csv,BTE
IRL,Ireland,IRL.M.PRVM.IX.BTE.Y._Z._Z.N,M,607,1975-07-01,2026-01-01,166.3988,IRL_Ireland_OECD.csv,BTE
ISL,Iceland,ISL.M.PRVM.IX.BTE.Y._Z._Z.N,M,242,1998-01-01,2018-02-01,98.67519,ISL_Iceland_OECD.csv,BTE
ITA,Italy,ITA.M.PRVM.IX.BTE.Y._Z._Z.N,M,853,1955-01-01,2026-01-01,98.42105,ITA_Italy_OECD.csv,BTE
LTU,Lithuania,LTU.M.PRVM.IX.BTE.Y._Z._Z.N,M,337,1998-01-01,2026-01-01,156.7335,LTU_Lithuania_OECD.csv,BTE
LUX,Luxembourg,LUX.M.PRVM.IX.BTE.Y._Z._Z.N,M,853,1955-01-01,2026-01-01,77.28944,LUX_Luxembourg_OECD.csv,BTE
LVA,Latvia,LVA.M.PRVM.IX.BTE.Y._Z._Z.N,M,313,2000-01-01,2026-01-01,124.8924,LVA_Latvia_OECD.csv,BTE
NLD,Netherlands,NLD.M.PRVM.IX.BTE.Y._Z._Z.N,M,841,1956-01-01,2026-01-01,106.2248,NLD_Netherlands_OECD.csv,BTE
NOR,Norway,NOR.M.PRVM.IX.BTE.Y._Z._Z.N,M,853,1955-01-01,2026-01-01,108.2025,NOR_Norway_OECD.csv,BTE
POL,Poland,POL.M.PRVM.IX.BTE.Y._Z._Z.N,M,493,1985-01-01,2026-01-01,153.3166,POL_Poland_OECD.csv,BTE
PRT,Portugal,PRT.M.PRVM.IX.BTE.Y._Z._Z.N,M,853,1955-01-01,2026-01-01,96.04282,PRT_Portugal_OECD.csv,BTE
SVK,Slovakia,SVK.M.PRVM.IX.BTE.Y._Z._Z.N,M,445,1989-01-01,2026-01-01,93.64898,SVK_Slovakia_OECD.csv,BTE
SVN,Slovenia,SVN.M.PRVM.IX.BTE.Y._Z._Z.N,M,409,1992-01-01,2026-01-01,120.7277,SVN_Slovenia_OECD.csv,BTE
SWE,Sweden,SWE.M.PRVM.IX.BTE.Y._Z._Z.N,M,805,1959-01-01,2026-01-01,120.4125,SWE_Sweden_OECD.csv,BTE
