date,country_code,country,series_id,frequency,source,value
1955-01-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,15.67781
1955-04-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,16.34634
1955-07-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,16.91114
1955-10-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,16.8025
1956-01-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,17.3447
1956-04-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,17.49519
1956-07-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.03619
1956-10-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.52049
1957-01-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.48842
1957-04-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,19.24064
1957-07-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.89978
1957-10-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,18.9271
1958-01-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,19.64673
1958-04-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,19.81948
1958-07-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,20.66828
1958-10-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,21.40448
1959-01-01,PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,21.76162
