date,country_code,country,series_id,frequency,source,value
1989-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,39.45848
1989-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,41.19171
1989-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.82097
1989-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,46.29958
1990-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.54546
1990-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.00687
1990-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,40.37283
1990-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,36.31522
1991-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,37.50107
1991-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.26245
1991-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.45798
1991-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.22483
1992-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.45066
1992-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.44435
1992-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.22449
1992-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.85921
1993-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.87784
1993-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.70642
1993-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,26.57364
1993-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.01419
1994-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,27.57677
1994-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.28708
1994-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,28.69308
1994-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.04183
1995-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,29.03823
1995-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.98568
1995-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.41159
1995-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.5326
1996-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.83162
1996-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,30.93062
1996-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.88609
1996-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.95967
1997-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.37478
1997-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.82396
1997-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,31.52356
1997-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.87879
1998-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.55606
1998-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.03487
1998-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.47982
1998-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.48413
1999-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.45731
1999-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.99975
1999-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,32.91461
1999-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.24382
2000-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.18776
2000-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,33.50204
2000-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,34.18776
2000-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.23265
2001-01-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.33061
2001-04-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.62449
2001-07-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.6898
2001-10-01,SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,35.10204
