date,country_code,country,series_id,frequency,source,value
1992-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.64509
1992-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,66.88966
1992-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,65.34383
1992-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,65.10803
1993-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,64.53162
1993-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,63.1168
1993-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,64.79362
1993-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,66.99446
1994-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.15166
1994-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,69.92891
1994-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,69.8765
1994-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,69.5359
1995-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,72.75855
1995-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.73673
1995-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,69.32629
1995-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,67.99007
1996-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,68.67129
1996-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.44853
1996-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,70.87212
1996-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,72.47034
1997-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,69.06429
1997-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.17776
1997-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,71.57953
1997-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.20396
1998-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.55058
1998-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,74.07407
1998-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.85748
1998-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.29435
1999-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,72.73121
1999-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,72.34135
1999-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,73.59757
1999-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,75.72016
2000-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,75.37362
2000-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,78.96902
2000-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,78.96902
2000-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.26857
2001-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,80.83171
2001-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.22157
2001-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.35152
2001-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,81.22157
2002-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.04094
2002-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.78103
2002-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.60407
2002-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.26121
2003-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.17089
2003-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,82.08794
2003-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,83.38748
2003-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,85.72666
2004-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.02989
2004-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.33311
2004-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.45939
2004-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,86.93957
2005-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,87.45939
2005-04-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,90.18843
2005-07-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,91.22807
2005-10-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,94.00043
2006-01-01,SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,Q,OECD,92.74421
