country_code,country,series_id,status,frequency,n_obs,start_date,end_date,latest_value,file
AUT,Austria,AUT.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,284,1955-01-01,2025-10-01,123.1868,AUT_Austria.csv
BEL,Belgium,BEL.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,284,1955-01-01,2025-10-01,131.6872,BEL_Belgium.csv
DEU,Germany,DEU.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,272,1958-01-01,2025-10-01,89.23969,DEU_Germany.csv
ESP,Spain,ESP.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,244,1965-01-01,2025-10-01,106.1771,ESP_Spain.csv
EST,Estonia,EST.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,112,1998-01-01,2025-10-01,122.8868,EST_Estonia.csv
FIN,Finland,FIN.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,272,1958-01-01,2025-10-01,117.5083,FIN_Finland.csv
FRA,France,FRA.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,280,1956-01-01,2025-10-01,100.7398,FRA_France.csv
GRC,Greece,GRC.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,256,1962-01-01,2025-10-01,133.0739,GRC_Greece.csv
IRL,Ireland,IRL.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,202,1975-07-01,2025-10-01,183.2887,IRL_Ireland.csv
ITA,Italy,ITA.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,284,1955-01-01,2025-10-01,99.01755,ITA_Italy.csv
LTU,Lithuania,LTU.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,112,1998-01-01,2025-10-01,151.7192,LTU_Lithuania.csv
LUX,Luxembourg,LUX.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,284,1955-01-01,2025-10-01,82.88317,LUX_Luxembourg.csv
LVA,Latvia,LVA.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,104,2000-01-01,2025-10-01,121.4505,LVA_Latvia.csv
NLD,Netherlands,NLD.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,280,1956-01-01,2025-10-01,106.1217,NLD_Netherlands.csv
PRT,Portugal,PRT.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,284,1955-01-01,2025-10-01,94.64807,PRT_Portugal.csv
SVK,Slovakia,SVK.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,148,1989-01-01,2025-10-01,93.81225,SVK_Slovakia.csv
SVN,Slovenia,SVN.Q.PRVM.IX.BTE.Y._Z._Z.N,downloaded_oecd,Q,136,1992-01-01,2025-10-01,120.4678,SVN_Slovenia.csv
