problem_file,target,method,test_mean
industry_eu_aut,AUT,mark_with_cc,1.1612968251707818
industry_eu_bel,BEL,mark_with_cc,1.2065257146256256
industry_eu_deu,DEU,mark_with_cc,1.3314235626521271
industry_eu_esp,ESP,mark_with_cc,1.1549390471657202
industry_eu_est,EST,mark_with_cc,1.2511702700338871
industry_eu_fin,FIN,mark_with_cc,1.202037578319587
industry_eu_fra,FRA,mark_with_cc,1.0995296872790834
industry_eu_grc,GRC,mark_with_cc,1.567727440838283
industry_eu_irl,IRL,mark_with_cc,1.3391081823353486
industry_eu_aut,AUT,hc_predictor_ce_shielded,1.02254057605857
industry_eu_bel,BEL,hc_predictor_ce_shielded,1.1886158899787702
industry_eu_deu,DEU,hc_predictor_ce_shielded,1.134610164819124
industry_eu_esp,ESP,hc_predictor_ce_shielded,1.1341952754908136
industry_eu_est,EST,hc_predictor_ce_shielded,1.111751035222902
industry_eu_fin,FIN,hc_predictor_ce_shielded,1.559078876851821
industry_eu_fra,FRA,hc_predictor_ce_shielded,0.9708553558858628
industry_eu_grc,GRC,hc_predictor_ce_shielded,1.3796218648374967
industry_eu_irl,IRL,hc_predictor_ce_shielded,1.2975597010246698
industry_eu_aut,AUT,hc_predictor,1.426203187714324
industry_eu_bel,BEL,hc_predictor,1.190872150739014
industry_eu_deu,DEU,hc_predictor,1.54535940429993
industry_eu_esp,ESP,hc_predictor,1.13437236903125
industry_eu_est,EST,hc_predictor,1.0559505050600528
industry_eu_fin,FIN,hc_predictor,1.2129387771115898
industry_eu_fra,FRA,hc_predictor,1.055254912455668
industry_eu_grc,GRC,hc_predictor,1.650160809191885
industry_eu_irl,IRL,hc_predictor,1.3876798320919428
