problem_file,target,selected features,train_mean,test_mean,run_id,start_time,runtime
industry_eu_aut,AUT,"ITA, LUX, FRA, GRC, ESP",0.19041630645303634,1.676340467316561,8f7b2395f3e34caf85897b8b1bab50a3,2026-05-22T19:23:03.953000+00:00,419.47845244407654
industry_eu_bel,BEL,"LUX, PRT, FRA, GRC, ESP",0.19814271506214037,1.4578297897500205,cf4c55034671454bb891e7c9b63975b3,2026-05-22T19:30:03.817000+00:00,189.45456719398499
industry_eu_deu,DEU,"ITA, LUX, PRT, FRA, IRL",0.1710672889750238,1.4516170238545778,ca20a8b0a0634d839d8f0043aabd72b2,2026-05-22T19:33:13.592000+00:00,189.2835681438446
industry_eu_esp,ESP,"DEU, NLD, FIN, IRL, LTU",0.1971171318446093,1.1573338729107079,6501f9b6d19140a6b0fff8bcc3b66656,2026-05-22T19:36:23.179000+00:00,183.36919283866882
industry_eu_est,EST,"ITA, LUX, FRA, GRC, ESP",0.258334940466113,1.60364916626854,99684c6941c74aebbda99f806ffed2a8,2026-05-22T19:39:26.881000+00:00,178.34049820899963
industry_eu_fin,FIN,"ITA, LUX, FRA, GRC, ESP",0.2639984081800166,2.266454410340154,5d9ad54b3f0d48be92f74a52585118ba,2026-05-22T19:42:25.526000+00:00,181.2543749809265
industry_eu_fra,FRA,"DEU, NLD, IRL, SVN, LTU",0.4668685861853787,1.7304315520100386,168cd3a5c9c249e2bcf986a4cf5718a7,2026-05-22T19:45:27.081000+00:00,186.9691116809845
industry_eu_grc,GRC,"AUT, NLD, IRL, SVN, LTU",0.24939804666895016,2.2450157214012187,1a18f5f563ad45408e8d30072d1f8f22,2026-05-22T19:48:34.380000+00:00,191.34341883659363
industry_eu_irl,IRL,"ITA, LUX, FRA, GRC, ESP",0.19088063867190824,2.0868596416669525,4cdd7812e54b480489e059c2ef1f941f,2026-05-22T19:51:46.039000+00:00,173.42857217788696
industry_eu_ita,ITA,"DEU, LUX, NLD, FIN, IRL",0.1575923226072457,1.211943981776623,96562d41cf3945da9f1dbfa9ccd32642,2026-05-22T19:54:39.780000+00:00,177.4596028327942
industry_eu_ltu,LTU,"ITA, LUX, FRA, GRC, ESP",0.20111590807860308,2.1538277562384534,381d54caaf504d1885a2ab92a1a272cc,2026-05-22T19:57:37.526000+00:00,180.17599606513977
industry_eu_lux,LUX,"FIN, GRC, SVK, EST, LTU",0.21737155435387984,2.292713766638604,a3df23c065264177aacc011ad8b54311,2026-05-22T20:00:38.013000+00:00,181.32631611824036
industry_eu_nld,NLD,"LUX, FRA, FIN, IRL, SVN",0.15850258008405896,1.9368215066657681,8ae3fa4a63654fb1a9348ad2005a2330,2026-05-22T20:03:39.657000+00:00,184.43692111968994
industry_eu_prt,PRT,"DEU, LUX, NLD, FIN, SVN",0.19878356705954778,1.0803843288127193,651ad76036844c86821eef3cfc67d284,2026-05-22T20:06:44.395000+00:00,191.11620998382568
industry_eu_svk,SVK,"ITA, LUX, FRA, GRC, ESP",0.124463134011674,0.7482981636865859,e04a793aaf314928bbee3da8adb0b55b,2026-05-22T20:09:55.832000+00:00,191.51698207855225
industry_eu_svn,SVN,"ITA, LUX, FRA, GRC, ESP",0.23106952073790757,1.8407321792659264,57e041da24a244b3bec8a1761bca8e1f,2026-05-22T20:13:07.672000+00:00,178.81271386146545
