job,target,train_error,test_err,cv_train,cv_test
0,AUT,3.8536521539407826,3.8619063468578,"[4.751362179139507, 4.581153060327823, 4.325688247260544, 3.3746234500744343, 2.2354338329016055]","[0.28224524053922057, 0.9367705297399377, 1.9572661908610829, 5.778109322429045, 10.355140450719716]"
1,BEL,6.017146800736128,6.027877116313374,"[7.232117434852561, 6.863322728624735, 6.531703806153442, 5.59217171876782, 3.8664183152820835]","[1.1549578187082417, 2.6426065170297455, 3.9621591765989574, 7.713065303347716, 14.666596765882208]"
2,DEU,10.642774621181555,10.656869778646739,"[12.6019740171349, 11.691974727039248, 10.893553568469907, 9.416444342246606, 8.609926451017122]","[2.831751201789805, 6.4409641131568085, 9.676835091630691, 15.507250862152695, 18.8275476245037]"
3,FIN,5.08597460912762,5.095441229252237,"[6.255046666744661, 5.921045056059152, 5.345772963425928, 4.024967895089668, 3.883040464318686]","[0.4198144977292936, 1.7639618276969455, 4.040967745729632, 9.333576436870862, 9.91888563823445]"
4,FRA,14.958341874585566,14.972416035308386,"[17.637886229762785, 15.777057072935506, 14.613353216874785, 13.003675529957643, 13.759737323397104]","[4.336217790454382, 11.712869576009894, 16.277497139834907, 22.75804171457696, 19.777453955665777]"
5,ITA,13.295635786421094,13.308734778749388,"[15.739865834985691, 13.983366993992489, 12.292086648299136, 11.514832222180866, 12.948027232647288]","[3.613965175224296, 10.507269083228445, 17.309045798719207, 20.4376606358783, 14.675733200696694]"
6,LUX,9.796104473843169,9.811551569192154,"[11.492003962225379, 11.102396759271768, 10.123348437977954, 7.772943111751253, 8.489830097989495]","[3.0323073678576304, 4.546012186297748, 8.486510441071003, 17.92597484654437, 15.066953004190022]"
7,NLD,9.428077413101004,9.440534693350587,"[11.34178139262653, 10.27415274331255, 9.492789488219845, 8.137904921578253, 7.893758519767846]","[1.8086666882152822, 6.045808927438274, 9.178219156247884, 14.591676023966894, 15.578302670884598]"
8,PRT,7.176546554285953,7.188015104021407,"[8.772870797728103, 7.9987469525664485, 6.319829323051004, 5.971634445613514, 6.819651252470693]","[0.8079025232386229, 3.9098795816312975, 10.603654664640436, 12.031981931480097, 8.586656819116584]"
mean,ALL,8.917139365246985,8.929260739076897,,
