rank,target,best_method,best_method_label,best_test_mean
1,SVN,hc_predictor_ce_shielded_collider_limit,HC-Predictor-CE (shielded collider limit),0.4189770819816337
2,DEU,hc_predictor_ce_shielded_collider_limit,HC-Predictor-CE (shielded collider limit),0.4411569217959016
3,ITA,hc_predictor_ce_milpLambda_0.05,HC-Predictor-CE (milpLambda=0.05),0.4758916197489908
4,EST,mark_with_cc,MARK with CC,0.7255888495360893
5,BEL,hc_predictor_ce_ceThreshold_0.05,HC-Predictor-CE (ceThreshold=0.05),0.7262321508142916
6,LUX,hc_predictor_ce_ceThreshold_0.05,HC-Predictor-CE (ceThreshold=0.05),0.7564236725897464
7,AUT,hc_predictor_ce_shielded_collider_limit,HC-Predictor-CE (shielded collider limit),0.8182715053669354
8,ESP,hc_predictor_ce_milpLambda_0.05,HC-Predictor-CE (milpLambda=0.05),0.8895288895515705
9,PRT,hc_predictor_ce_milpLambda_0.05,HC-Predictor-CE (milpLambda=0.05),0.8917865739814165
10,LTU,mark,MARK,0.8919205929033032
11,FRA,mark_with_cc,MARK with CC,0.9460967760086404
12,FIN,mark,MARK,0.9605840120926656
13,SVK,hc_predictor_ce_ceThreshold_0.05,HC-Predictor-CE (ceThreshold=0.05),0.9645762645542046
14,NLD,mark,MARK,1.0265597310975343
15,IRL,mark,MARK,1.0720290131931771
16,GRC,hc_predictor_ce_ceThreshold_0.05,HC-Predictor-CE (ceThreshold=0.05),1.079495937160632
